year,geography_value,age,sex,persons_married,opposite_sex_people,same_sex_people,population,population_se,population_cv,unweighted_n,precision_pass,uf_code,formal_marriage_rate_100k,offset_log_population,treated_age,post_annual,partial_2019,pandemic,trend_2018,fixed_denominator_simplification
2013,11,15,combined,20,20,0,33052.14380413,2625.75031163222,0.0794426626966364,171,TRUE,11,60.5104471241618,10.4058417086566,1,0,0,0,-5,TRUE
2013,11,16,combined,519,519,0,31528.84083706,2783.73839050119,0.088291808915128,159,TRUE,11,1646.11189698402,10.358657988053,0,0,0,0,-5,TRUE
2013,11,17,combined,581,581,0,34454.54853222,2929.65861643435,0.0850296620109446,177,TRUE,11,1686.2795327493,10.4473963005918,0,0,0,0,-5,TRUE
2013,11,18,combined,985,985,0,37460.82707288,3389.59265157534,0.0904836576347044,180,TRUE,11,2629.413381834,10.5310510545819,0,0,0,0,-5,TRUE
2013,11,19,combined,1097,1096,1,27292.16476899,2353.68862692216,0.0862404520434552,142,TRUE,11,4019.46862509945,10.2143549351804,0,0,0,0,-5,TRUE
2013,11,15,female,18,18,0,15743.39792005,1826.46097329986,0.116014406964444,84,TRUE,11,114.333640624532,9.66417637669405,1,0,0,0,-5,TRUE
2013,11,16,female,512,512,0,17877.87789093,2143.44419977619,0.119893659239256,83,TRUE,11,2863.87457797636,9.79131935549414,0,0,0,0,-5,TRUE
2013,11,17,female,544,544,0,16431.96796617,1858.0868758903,0.11307756196432,86,TRUE,11,3310.61989117787,9.70698398268798,0,0,0,0,-5,TRUE
2013,11,18,female,793,793,0,19739.33478299,2213.42659264725,0.112132785475356,94,TRUE,11,4017.35929157731,9.89036861348297,0,0,0,0,-5,TRUE
2013,11,19,female,726,726,0,14102.77155456,1642.88657135697,0.11649387958963,74,TRUE,11,5147.92427283738,9.55412662120325,0,0,0,0,-5,TRUE
2013,11,15,male,2,2,0,17308.74588408,2037.05435026574,0.117689309433987,87,TRUE,11,11.554852173545,9.75896719517472,1,0,0,0,-5,TRUE
2013,11,16,male,7,7,0,13650.96294613,1603.92146341284,0.117495115160909,76,TRUE,11,51.2784338190917,9.52156534362892,0,0,0,0,-5,TRUE
2013,11,17,male,37,37,0,18022.58056605,1965.80861146513,0.109074757871701,91,TRUE,11,205.298014146202,9.79938072657253,0,0,0,0,-5,TRUE
2013,11,18,male,192,192,0,17721.49228989,2278.70353879952,0.128584179115633,86,TRUE,11,1083.43020361516,9.78253343561827,0,0,0,0,-5,TRUE
2013,11,19,male,371,370,1,13189.39321443,1542.05083941168,0.11691598046562,68,TRUE,11,2812.86632347956,9.48716824119828,0,0,0,0,-5,TRUE
2013,12,15,combined,0,0,0,15175.3925072,1077.53377624316,0.0710053315413039,175,TRUE,12,0,9.62743048097705,1,0,0,0,-5,TRUE
2013,12,16,combined,78,78,0,17298.40357977,1289.62564463271,0.0745517144796466,204,TRUE,12,450.908661254839,9.75836949760192,0,0,0,0,-5,TRUE
2013,12,17,combined,101,101,0,18466.39613607,1185.25453024431,0.0641843985968211,212,TRUE,12,546.939420424968,9.82370793428866,0,0,0,0,-5,TRUE
2013,12,18,combined,177,177,0,14242.27993282,1182.0075204122,0.0829928583055282,162,TRUE,12,1242.77854974694,9.56397027979196,0,0,0,0,-5,TRUE
2013,12,19,combined,228,228,0,14819.43497531,1246.23914046525,0.0840949160707915,171,TRUE,12,1538.52019580949,9.60369477230073,0,0,0,0,-5,TRUE
2013,12,15,female,0,0,0,6963.50545294,798.364576702501,0.114649809940973,77,TRUE,12,0,8.84843828356744,1,0,0,0,-5,TRUE
2013,12,16,female,75,75,0,8814.1977829,853.730965596465,0.0968586122781073,103,TRUE,12,850.899898632907,9.0841190847803,0,0,0,0,-5,TRUE
2013,12,17,female,93,93,0,9013.17182744,889.115753802544,0.0986462669107994,100,TRUE,12,1031.82322250717,9.106442322775,0,0,0,0,-5,TRUE
2013,12,18,female,135,135,0,6759.59893348,843.918764971166,0.12484746111064,79,TRUE,12,1997.15991035135,8.81871883791009,0,0,0,0,-5,TRUE
2013,12,19,female,155,155,0,8003.01372405,950.141891870581,0.118723011684372,91,TRUE,12,1936.77038856258,8.98757346522875,0,0,0,0,-5,TRUE
2013,12,15,male,0,0,0,8211.88705426,798.850526637183,0.0972797752037726,98,TRUE,12,0,9.01333802430094,1,0,0,0,-5,TRUE
2013,12,16,male,3,3,0,8484.20579687,878.32101136847,0.103524246393516,101,TRUE,12,35.3598211998436,9.04596157244719,0,0,0,0,-5,TRUE
2013,12,17,male,8,8,0,9453.22430863,828.760423388057,0.0876696031248796,112,TRUE,12,84.6272101329138,9.15411115897386,0,0,0,0,-5,TRUE
2013,12,18,male,42,42,0,7482.68099934,897.828440775726,0.119987533994155,83,TRUE,12,561.296145107677,8.92034642912223,0,0,0,0,-5,TRUE
2013,12,19,male,73,73,0,6816.42125126,741.743058711246,0.10881708030796,80,TRUE,12,1070.94320185253,8.8270898698946,0,0,0,0,-5,TRUE
2013,13,15,combined,27,27,0,78197.85391861,5065.6976632524,0.0647805203007858,314,TRUE,13,34.5278017835402,11.2669974826608,1,0,0,0,-5,TRUE
2013,13,16,combined,236,236,0,73363.87666341,4985.15107515616,0.067951031241544,278,TRUE,13,321.684200363016,11.20318694991,0,0,0,0,-5,TRUE
2013,13,17,combined,346,346,0,75128.52968451,5314.152020444,0.0707341411146993,297,TRUE,13,460.544085519803,11.226955654887,0,0,0,0,-5,TRUE
2013,13,18,combined,757,757,0,77387.22581675,5213.64728830993,0.0673709030564766,278,TRUE,13,978.197618548243,11.2565770048298,0,0,0,0,-5,TRUE
2013,13,19,combined,1013,1013,0,69302.38295708,5100.62032893285,0.0735994941485885,258,TRUE,13,1461.71019924,11.1462345706919,0,0,0,0,-5,TRUE
2013,13,15,female,27,27,0,40119.77245394,3714.14419280583,0.0925764022482903,156,TRUE,13,67.2984873755146,10.5996245704232,1,0,0,0,-5,TRUE
2013,13,16,female,220,220,0,32639.72572502,3034.55472122931,0.0929712077483288,125,TRUE,13,674.025271699385,10.3932854060103,0,0,0,0,-5,TRUE
2013,13,17,female,307,307,0,35602.53306799,3523.81998809055,0.0989766649850764,137,TRUE,13,862.298194945072,10.4801720679041,0,0,0,0,-5,TRUE
2013,13,18,female,591,591,0,33838.05300795,3842.15516752406,0.113545397148629,124,TRUE,13,1746.55438911083,10.4293412768389,0,0,0,0,-5,TRUE
2013,13,19,female,702,702,0,35000.56168254,3647.78380447755,0.104220721871936,125,TRUE,13,2005.68209838242,10.4631193884154,0,0,0,0,-5,TRUE
2013,13,15,male,0,0,0,38078.08146467,3430.57421722535,0.0900931476920218,158,TRUE,13,0,10.547394105931,1,0,0,0,-5,TRUE
2013,13,16,male,16,16,0,40724.15093839,3571.23524490809,0.0876933014591484,153,TRUE,13,39.2887258084417,10.6145765845946,0,0,0,0,-5,TRUE
2013,13,17,male,39,39,0,39525.99661652,3780.06200285982,0.0956348309072093,160,TRUE,13,98.6692388262257,10.584713876599,0,0,0,0,-5,TRUE
2013,13,18,male,166,166,0,43549.1728088,3247.41669155151,0.0745689638195677,154,TRUE,13,381.178307860893,10.6816459880429,0,0,0,0,-5,TRUE
2013,13,19,male,311,311,0,34301.82127454,3236.96420942088,0.0943671236437661,133,TRUE,13,906.657397316786,10.4429537301275,0,0,0,0,-5,TRUE
2013,14,15,combined,0,0,0,10214.26924279,1040.74241360998,0.101891029976972,116,TRUE,14,0,9.2315409670315,1,0,0,0,-5,TRUE
2013,14,16,combined,50,50,0,10984.61147418,1066.45766298525,0.0970865164864523,121,TRUE,14,455.182234870374,9.304250615434,0,0,0,0,-5,TRUE
2013,14,17,combined,64,64,0,9015.90131895,781.238933173625,0.0866512293708877,102,TRUE,14,709.856926511408,9.10674511055656,0,0,0,0,-5,TRUE
2013,14,18,combined,128,128,0,9971.18709039,926.717909807634,0.0929395769437306,115,TRUE,14,1283.6987094883,9.20745492210578,0,0,0,0,-5,TRUE
2013,14,19,combined,164,164,0,8984.94861668,1012.73542317885,0.112714659413719,96,TRUE,14,1825.27476779939,9.10330608041221,0,0,0,0,-5,TRUE
2013,14,15,female,0,0,0,4851.74312749,751.934366371005,0.154982311843869,56,TRUE,14,0,8.48709332708994,1,0,0,0,-5,TRUE
2013,14,16,female,49,49,0,6543.66524388,887.36371488164,0.135606526588681,71,TRUE,14,748.815811533567,8.78625272231033,0,0,0,0,-5,TRUE
2013,14,17,female,60,60,0,3427.50767491,535.282721050292,0.15617258130993,39,TRUE,14,1750.54312610913,8.13958865064913,0,0,0,0,-5,TRUE
2013,14,18,female,103,103,0,5032.15063769,669.07243974308,0.132959541141681,54,TRUE,14,2046.83856696472,8.52360273388014,0,0,0,0,-5,TRUE
2013,14,19,female,119,119,0,4079.08286992,592.670246760931,0.145294975772962,42,TRUE,14,2917.32244219726,8.31362745534556,0,0,0,0,-5,TRUE
2013,14,15,male,0,0,0,5362.5261153,652.711846363738,0.121717234066509,60,TRUE,14,0,8.58719043321043,1,0,0,0,-5,TRUE
2013,14,16,male,1,1,0,4440.9462303,650.30184834045,0.146433173161054,50,TRUE,14,22.5177236593663,8.39862274765294,0,0,0,0,-5,TRUE
2013,14,17,male,4,4,0,5588.39364404,610.95343483433,0.109325411513541,63,TRUE,14,71.5769191432315,8.62844716242689,0,0,0,0,-5,TRUE
2013,14,18,male,25,25,0,4939.0364527,635.83990632472,0.128737641929557,61,TRUE,14,506.171603295889,8.5049255410965,0,0,0,0,-5,TRUE
2013,14,19,male,45,45,0,4905.86574676,708.767132668471,0.144473405766671,54,TRUE,14,917.269291963799,8.4981868593319,0,0,0,0,-5,TRUE
2013,15,15,combined,23,23,0,164085.57630944,8833.33114499141,0.0538336844935908,374,TRUE,15,14.0170760388016,12.0081433774774,1,0,0,0,-5,TRUE
2013,15,16,combined,600,599,1,162499.95835396,8525.51020336743,0.0524646916203943,378,TRUE,15,369.230863858482,11.9984330244686,0,0,0,0,-5,TRUE
2013,15,17,combined,836,836,0,162274.92710518,9463.19328636667,0.0583158067310855,361,TRUE,15,515.175088914469,11.9970472566961,0,0,0,0,-5,TRUE
2013,15,18,combined,1449,1448,1,178591.78049775,10139.6764882353,0.0567757175608823,387,TRUE,15,811.347530083141,12.0928579245164,0,0,0,0,-5,TRUE
2013,15,19,combined,1846,1846,0,150046.83679621,9076.79792542614,0.0604930974836479,332,TRUE,15,1230.28251672322,11.918702769648,0,0,0,0,-5,TRUE
2013,15,15,female,19,19,0,77850.31784525,6222.52886436683,0.0799293957506493,177,TRUE,15,24.4058091551636,11.2625432600444,1,0,0,0,-5,TRUE
2013,15,16,female,575,575,0,86241.8201004,6258.62769951276,0.0725706819757128,194,TRUE,15,666.72989894068,11.3649104909804,0,0,0,0,-5,TRUE
2013,15,17,female,773,773,0,74533.67970065,6224.08327169251,0.0835069903524196,162,TRUE,15,1037.11503726182,11.2190063787306,0,0,0,0,-5,TRUE
2013,15,18,female,1188,1188,0,91102.76388738,7019.5342147079,0.0770507272796394,193,TRUE,15,1304.02190812629,11.419743421837,0,0,0,0,-5,TRUE
2013,15,19,female,1330,1330,0,78907.06617809,6659.13938683063,0.08439218069268,165,TRUE,15,1685.52711996445,11.2760260614815,0,0,0,0,-5,TRUE
2013,15,15,male,4,4,0,86235.25846419,6337.96020304739,0.0734961582527092,197,TRUE,15,4.63847395049096,11.3648344039285,1,0,0,0,-5,TRUE
2013,15,16,male,25,24,1,76258.13825356,6006.50856328226,0.0787654760638201,184,TRUE,15,32.7833862359378,11.2418794199685,0,0,0,0,-5,TRUE
2013,15,17,male,63,63,0,87741.24740453,6512.56828045375,0.0742247058607182,199,TRUE,15,71.8020336655795,11.3821473916756,0,0,0,0,-5,TRUE
2013,15,18,male,261,260,1,87489.01661037,7137.29725437107,0.0815793516820155,194,TRUE,15,298.323161137308,11.3792685400139,0,0,0,0,-5,TRUE
2013,15,19,male,516,516,0,71139.77061812,5899.0225987467,0.082921585879336,167,TRUE,15,725.332673294521,11.1724018211245,0,0,0,0,-5,TRUE
2013,16,15,combined,1,1,0,16315.7333535,2279.78139800809,0.13972901791258,80,TRUE,16,6.12905333970467,9.69988515766478,1,0,0,0,-5,TRUE
2013,16,16,combined,24,24,0,18490.33242824,2054.85220370881,0.111131166066569,93,TRUE,16,129.797558227483,9.82500330303188,0,0,0,0,-5,TRUE
2013,16,17,combined,38,38,0,14647.89163493,1772.11931558148,0.120981186900346,81,TRUE,16,259.423000572885,9.59205168838392,0,0,0,0,-5,TRUE
2013,16,18,combined,69,69,0,16815.96990521,2187.68572188139,0.130095720568791,86,TRUE,16,410.324235764849,9.73008430346301,0,0,0,0,-5,TRUE
2013,16,19,combined,104,104,0,14855.22320272,1694.4090527653,0.114061500769309,78,TRUE,16,700.090456944178,9.60610681321096,0,0,0,0,-5,TRUE
2013,16,15,female,1,1,0,9579.29817326,1744.65863957276,0.182128023161745,46,TRUE,16,10.4391781309349,9.16735960870509,1,0,0,0,-5,TRUE
2013,16,16,female,23,23,0,10137.24532197,1569.13398294842,0.154788991793234,48,TRUE,16,226.886094491105,9.22397157573769,0,0,0,0,-5,TRUE
2013,16,17,female,35,35,0,7523.23557466,1235.50068365236,0.164224643956892,42,TRUE,16,465.225362846381,8.92575158699525,0,0,0,0,-5,TRUE
2013,16,18,female,55,55,0,8643.65159569,1478.58170947518,0.17105984584252,40,TRUE,16,636.305147091129,9.0645804109017,0,0,0,0,-5,TRUE
2013,16,19,female,78,78,0,7438.12536246,1285.47978724323,0.172823087081997,37,TRUE,16,1048.65132273333,8.91437412866673,0,0,0,0,-5,TRUE
2013,16,15,male,0,0,0,6736.43518024,1418.0252934134,0.210500844359476,34,FALSE,16,0,8.81528615897786,1,0,0,0,-5,TRUE
2013,16,16,male,1,1,0,8353.08710627,1404.20200749377,0.168105754151629,45,TRUE,16,11.971621836068,9.03038646284352,0,0,0,0,-5,TRUE
2013,16,17,male,3,3,0,7124.65606027,1001.88462534971,0.14062217416173,39,TRUE,16,42.1072957715002,8.8713167317289,0,0,0,0,-5,TRUE
2013,16,18,male,14,14,0,8172.31830952,1326.60540351676,0.162329140064379,46,TRUE,16,171.310018403117,9.00850790641731,0,0,0,0,-5,TRUE
2013,16,19,male,26,26,0,7417.09784026,1301.88219447333,0.175524473656895,41,TRUE,16,350.541418759127,8.91154313300185,0,0,0,0,-5,TRUE
2013,17,15,combined,10,10,0,30108.64752229,2714.8078554855,0.090167047638911,153,TRUE,17,33.2130494822021,10.3125677025755,1,0,0,0,-5,TRUE
2013,17,16,combined,234,234,0,27290.16131295,2455.31282766136,0.0899706234604133,129,TRUE,17,857.451875482172,10.2142815247494,0,0,0,0,-5,TRUE
2013,17,17,combined,273,273,0,30518.52168789,2739.63044838127,0.0897694349811308,143,TRUE,17,894.538742052924,10.326089046738,0,0,0,0,-5,TRUE
2013,17,18,combined,477,477,0,26089.19551805,2289.54517579573,0.087758366263601,117,TRUE,17,1828.34307661953,10.169276542778,0,0,0,0,-5,TRUE
2013,17,19,combined,506,506,0,30531.16912713,2734.54502491361,0.08956568330309,141,TRUE,17,1657.32271140042,10.3265033793662,0,0,0,0,-5,TRUE
2013,17,15,female,10,10,0,14068.44189368,1839.26082098738,0.130736639841661,69,TRUE,17,71.0810768923339,9.55168940436583,1,0,0,0,-5,TRUE
2013,17,16,female,227,227,0,12428.84556846,1706.111080735,0.137270277544079,54,TRUE,17,1826.3964963572,9.42777530557056,0,0,0,0,-5,TRUE
2013,17,17,female,260,260,0,14678.37043832,1905.89388509114,0.129843697098387,68,TRUE,17,1771.31379189908,9.5941302904429,0,0,0,0,-5,TRUE
2013,17,18,female,392,392,0,14014.1430533,1959.49787544579,0.139822882354863,56,TRUE,17,2797.17424396987,9.54782231676335,0,0,0,0,-5,TRUE
2013,17,19,female,359,359,0,16439.13532653,1961.73231729656,0.119333059697529,72,TRUE,17,2183.81315604011,9.70742007151711,0,0,0,0,-5,TRUE
2013,17,15,male,0,0,0,16040.20562861,1787.23271496667,0.111422057568819,84,TRUE,17,0,9.68285370107711,1,0,0,0,-5,TRUE
2013,17,16,male,7,7,0,14861.31574449,1906.04789436366,0.128255662360875,75,TRUE,17,47.1021551547031,9.60651685704992,0,0,0,0,-5,TRUE
