year,uf_code,uf,region,sex,age_group,age,persons_married,opposite_sex_people,same_sex_people
2013,17,TO,North,female,unknown,,0,0,0
2013,17,TO,North,male,15,15,0,0,0
2013,17,TO,North,male,16,16,7,7,0
2013,17,TO,North,male,17,17,13,13,0
2013,17,TO,North,male,18,18,85,85,0
2013,17,TO,North,male,19,19,147,147,0
2013,17,TO,North,male,<15,,2,2,0
2013,17,TO,North,male,unknown,,0,0,0
2013,21,MA,Northeast,combined,15,15,49,49,0
2013,21,MA,Northeast,combined,16,16,712,712,0
2013,21,MA,Northeast,combined,17,17,897,897,0
2013,21,MA,Northeast,combined,18,18,1516,1516,0
2013,21,MA,Northeast,combined,19,19,1787,1786,1
2013,21,MA,Northeast,combined,<15,,21,21,0
2013,21,MA,Northeast,combined,unknown,,95,95,0
2013,21,MA,Northeast,female,15,15,44,44,0
2013,21,MA,Northeast,female,16,16,673,673,0
2013,21,MA,Northeast,female,17,17,803,803,0
2013,21,MA,Northeast,female,18,18,1193,1193,0
2013,21,MA,Northeast,female,19,19,1235,1235,0
2013,21,MA,Northeast,female,<15,,13,13,0
2013,21,MA,Northeast,female,unknown,,48,48,0
2013,21,MA,Northeast,male,15,15,5,5,0
2013,21,MA,Northeast,male,16,16,39,39,0
2013,21,MA,Northeast,male,17,17,94,94,0
2013,21,MA,Northeast,male,18,18,323,323,0
2013,21,MA,Northeast,male,19,19,552,551,1
2013,21,MA,Northeast,male,<15,,8,8,0
2013,21,MA,Northeast,male,unknown,,47,47,0
2013,22,PI,Northeast,combined,15,15,29,29,0
2013,22,PI,Northeast,combined,16,16,434,434,0
2013,22,PI,Northeast,combined,17,17,489,489,0
2013,22,PI,Northeast,combined,18,18,744,743,1
2013,22,PI,Northeast,combined,19,19,832,831,1
2013,22,PI,Northeast,combined,<15,,12,12,0
2013,22,PI,Northeast,combined,unknown,,2,2,0
2013,22,PI,Northeast,female,15,15,29,29,0
2013,22,PI,Northeast,female,16,16,418,418,0
2013,22,PI,Northeast,female,17,17,452,452,0
2013,22,PI,Northeast,female,18,18,575,574,1
2013,22,PI,Northeast,female,19,19,558,557,1
2013,22,PI,Northeast,female,<15,,9,9,0
2013,22,PI,Northeast,female,unknown,,2,2,0
2013,22,PI,Northeast,male,15,15,0,0,0
2013,22,PI,Northeast,male,16,16,16,16,0
2013,22,PI,Northeast,male,17,17,37,37,0
2013,22,PI,Northeast,male,18,18,169,169,0
2013,22,PI,Northeast,male,19,19,274,274,0
2013,22,PI,Northeast,male,<15,,3,3,0
2013,22,PI,Northeast,male,unknown,,0,0,0
2013,23,CE,Northeast,combined,15,15,33,33,0
2013,23,CE,Northeast,combined,16,16,1277,1275,2
2013,23,CE,Northeast,combined,17,17,1626,1626,0
2013,23,CE,Northeast,combined,18,18,2865,2862,3
2013,23,CE,Northeast,combined,19,19,3418,3410,8
2013,23,CE,Northeast,combined,<15,,9,9,0
2013,23,CE,Northeast,combined,unknown,,6,6,0
2013,23,CE,Northeast,female,15,15,25,25,0
2013,23,CE,Northeast,female,16,16,1208,1207,1
2013,23,CE,Northeast,female,17,17,1428,1428,0
2013,23,CE,Northeast,female,18,18,2215,2214,1
2013,23,CE,Northeast,female,19,19,2312,2309,3
2013,23,CE,Northeast,female,<15,,7,7,0
2013,23,CE,Northeast,female,unknown,,3,3,0
2013,23,CE,Northeast,male,15,15,8,8,0
2013,23,CE,Northeast,male,16,16,69,68,1
2013,23,CE,Northeast,male,17,17,198,198,0
2013,23,CE,Northeast,male,18,18,650,648,2
2013,23,CE,Northeast,male,19,19,1106,1101,5
2013,23,CE,Northeast,male,<15,,2,2,0
2013,23,CE,Northeast,male,unknown,,3,3,0
2013,24,RN,Northeast,combined,15,15,7,7,0
2013,24,RN,Northeast,combined,16,16,273,273,0
2013,24,RN,Northeast,combined,17,17,353,353,0
2013,24,RN,Northeast,combined,18,18,753,753,0
2013,24,RN,Northeast,combined,19,19,877,877,0
2013,24,RN,Northeast,combined,<15,,5,5,0
2013,24,RN,Northeast,combined,unknown,,5,5,0
2013,24,RN,Northeast,female,15,15,6,6,0
2013,24,RN,Northeast,female,16,16,256,256,0
2013,24,RN,Northeast,female,17,17,316,316,0
2013,24,RN,Northeast,female,18,18,624,624,0
2013,24,RN,Northeast,female,19,19,590,590,0
2013,24,RN,Northeast,female,<15,,5,5,0
2013,24,RN,Northeast,female,unknown,,2,2,0
2013,24,RN,Northeast,male,15,15,1,1,0
2013,24,RN,Northeast,male,16,16,17,17,0
2013,24,RN,Northeast,male,17,17,37,37,0
2013,24,RN,Northeast,male,18,18,129,129,0
2013,24,RN,Northeast,male,19,19,287,287,0
2013,24,RN,Northeast,male,<15,,0,0,0
2013,24,RN,Northeast,male,unknown,,3,3,0
2013,25,PB,Northeast,combined,15,15,25,25,0
2013,25,PB,Northeast,combined,16,16,625,625,0
2013,25,PB,Northeast,combined,17,17,775,775,0
2013,25,PB,Northeast,combined,18,18,1211,1211,0
2013,25,PB,Northeast,combined,19,19,1362,1362,0
2013,25,PB,Northeast,combined,<15,,9,9,0
2013,25,PB,Northeast,combined,unknown,,8,8,0
2013,25,PB,Northeast,female,15,15,24,24,0
2013,25,PB,Northeast,female,16,16,605,605,0
2013,25,PB,Northeast,female,17,17,688,688,0
2013,25,PB,Northeast,female,18,18,944,944,0
2013,25,PB,Northeast,female,19,19,913,913,0
2013,25,PB,Northeast,female,<15,,9,9,0
2013,25,PB,Northeast,female,unknown,,5,5,0
2013,25,PB,Northeast,male,15,15,1,1,0
2013,25,PB,Northeast,male,16,16,20,20,0
2013,25,PB,Northeast,male,17,17,87,87,0
2013,25,PB,Northeast,male,18,18,267,267,0
2013,25,PB,Northeast,male,19,19,449,449,0
2013,25,PB,Northeast,male,<15,,0,0,0
2013,25,PB,Northeast,male,unknown,,3,3,0
2013,26,PE,Northeast,combined,15,15,44,44,0
2013,26,PE,Northeast,combined,16,16,1098,1098,0
2013,26,PE,Northeast,combined,17,17,1418,1418,0
2013,26,PE,Northeast,combined,18,18,2527,2526,1
2013,26,PE,Northeast,combined,19,19,2978,2975,3
2013,26,PE,Northeast,combined,<15,,25,25,0
2013,26,PE,Northeast,combined,unknown,,13,13,0
2013,26,PE,Northeast,female,15,15,40,40,0
2013,26,PE,Northeast,female,16,16,1050,1050,0
2013,26,PE,Northeast,female,17,17,1284,1284,0
2013,26,PE,Northeast,female,18,18,1968,1968,0
2013,26,PE,Northeast,female,19,19,2076,2076,0
2013,26,PE,Northeast,female,<15,,17,17,0
2013,26,PE,Northeast,female,unknown,,7,7,0
2013,26,PE,Northeast,male,15,15,4,4,0
2013,26,PE,Northeast,male,16,16,48,48,0
2013,26,PE,Northeast,male,17,17,134,134,0
2013,26,PE,Northeast,male,18,18,559,558,1
2013,26,PE,Northeast,male,19,19,902,899,3
2013,26,PE,Northeast,male,<15,,8,8,0
2013,26,PE,Northeast,male,unknown,,6,6,0
2013,27,AL,Northeast,combined,15,15,36,36,0
2013,27,AL,Northeast,combined,16,16,673,673,0
2013,27,AL,Northeast,combined,17,17,807,807,0
2013,27,AL,Northeast,combined,18,18,1180,1180,0
2013,27,AL,Northeast,combined,19,19,1327,1326,1
2013,27,AL,Northeast,combined,<15,,11,11,0
2013,27,AL,Northeast,combined,unknown,,5,5,0
2013,27,AL,Northeast,female,15,15,34,34,0
2013,27,AL,Northeast,female,16,16,639,639,0
2013,27,AL,Northeast,female,17,17,703,703,0
2013,27,AL,Northeast,female,18,18,885,885,0
2013,27,AL,Northeast,female,19,19,870,870,0
2013,27,AL,Northeast,female,<15,,9,9,0
2013,27,AL,Northeast,female,unknown,,2,2,0
2013,27,AL,Northeast,male,15,15,2,2,0
2013,27,AL,Northeast,male,16,16,34,34,0
2013,27,AL,Northeast,male,17,17,104,104,0
2013,27,AL,Northeast,male,18,18,295,295,0
2013,27,AL,Northeast,male,19,19,457,456,1
2013,27,AL,Northeast,male,<15,,2,2,0
2013,27,AL,Northeast,male,unknown,,3,3,0
2013,28,SE,Northeast,combined,15,15,12,12,0
2013,28,SE,Northeast,combined,16,16,138,138,0
2013,28,SE,Northeast,combined,17,17,199,199,0
2013,28,SE,Northeast,combined,18,18,316,316,0
2013,28,SE,Northeast,combined,19,19,460,460,0
2013,28,SE,Northeast,combined,<15,,7,7,0
2013,28,SE,Northeast,combined,unknown,,0,0,0
2013,28,SE,Northeast,female,15,15,10,10,0
2013,28,SE,Northeast,female,16,16,133,133,0
2013,28,SE,Northeast,female,17,17,183,183,0
2013,28,SE,Northeast,female,18,18,237,237,0
2013,28,SE,Northeast,female,19,19,335,335,0
2013,28,SE,Northeast,female,<15,,5,5,0
2013,28,SE,Northeast,female,unknown,,0,0,0
2013,28,SE,Northeast,male,15,15,2,2,0
2013,28,SE,Northeast,male,16,16,5,5,0
2013,28,SE,Northeast,male,17,17,16,16,0
2013,28,SE,Northeast,male,18,18,79,79,0
2013,28,SE,Northeast,male,19,19,125,125,0
2013,28,SE,Northeast,male,<15,,2,2,0
2013,28,SE,Northeast,male,unknown,,0,0,0
2013,29,BA,Northeast,combined,15,15,33,33,0
2013,29,BA,Northeast,combined,16,16,977,977,0
2013,29,BA,Northeast,combined,17,17,1391,1391,0
2013,29,BA,Northeast,combined,18,18,2605,2603,2
2013,29,BA,Northeast,combined,19,19,3155,3153,2
2013,29,BA,Northeast,combined,<15,,12,12,0
2013,29,BA,Northeast,combined,unknown,,186,186,0
2013,29,BA,Northeast,female,15,15,26,26,0
2013,29,BA,Northeast,female,16,16,954,954,0
2013,29,BA,Northeast,female,17,17,1295,1295,0
2013,29,BA,Northeast,female,18,18,2216,2215,1
2013,29,BA,Northeast,female,19,19,2342,2341,1
2013,29,BA,Northeast,female,<15,,11,11,0
2013,29,BA,Northeast,female,unknown,,92,92,0
2013,29,BA,Northeast,male,15,15,7,7,0
2013,29,BA,Northeast,male,16,16,23,23,0
2013,29,BA,Northeast,male,17,17,96,96,0
2013,29,BA,Northeast,male,18,18,389,388,1
2013,29,BA,Northeast,male,19,19,813,812,1
2013,29,BA,Northeast,male,<15,,1,1,0
2013,29,BA,Northeast,male,unknown,,94,94,0
2013,31,MG,Southeast,combined,15,15,65,65,0
2013,31,MG,Southeast,combined,16,16,2241,2238,3
2013,31,MG,Southeast,combined,17,17,3149,3148,1
2013,31,MG,Southeast,combined,18,18,5665,5661,4
2013,31,MG,Southeast,combined,19,19,6640,6635,5
2013,31,MG,Southeast,combined,<15,,28,28,0
2013,31,MG,Southeast,combined,unknown,,3,3,0
2013,31,MG,Southeast,female,15,15,58,58,0
2013,31,MG,Southeast,female,16,16,2205,2205,0
2013,31,MG,Southeast,female,17,17,2970,2970,0
2013,31,MG,Southeast,female,18,18,4713,4713,0
2013,31,MG,Southeast,female,19,19,4833,4832,1
2013,31,MG,Southeast,female,<15,,22,22,0
2013,31,MG,Southeast,female,unknown,,2,2,0
2013,31,MG,Southeast,male,15,15,7,7,0
2013,31,MG,Southeast,male,16,16,36,33,3
2013,31,MG,Southeast,male,17,17,179,178,1
2013,31,MG,Southeast,male,18,18,952,948,4
2013,31,MG,Southeast,male,19,19,1807,1803,4
2013,31,MG,Southeast,male,<15,,6,6,0
