year,uf_code,uf,region,variable_code,composition,first_below_15,first_below_16,second_below_15,second_below_16,both_below_15,both_below_16,total_marriages,marriages_at_least_one_below_15,affected_marriages_below_16,share_at_least_one_below_15,affected_share_below_16
2013,29,BA,Northeast,221,opposite_sex,1,8,11,37,0,0,54705,12,45,0.000219358376748012,0.000822593912805045
2013,31,MG,Southeast,all,all,6,13,22,80,0,0,114062,28,93,0.000245480528133822,0.000815346039873051
2013,31,MG,Southeast,4374,female_same_sex,0,0,0,0,0,0,109,0,0,0,0
2013,31,MG,Southeast,4373,male_same_sex,0,0,0,0,0,0,100,0,0,0,0
2013,31,MG,Southeast,221,opposite_sex,6,13,22,80,0,0,113853,28,93,0.000245931156842595,0.000816842770941477
2013,32,ES,Southeast,all,all,4,6,8,13,2,3,25023,10,16,0.000399632338248811,0.000639411741198098
2013,32,ES,Southeast,4374,female_same_sex,0,0,0,0,0,0,23,0,0,0,0
2013,32,ES,Southeast,4373,male_same_sex,0,0,0,0,0,0,20,0,0,0,0
2013,32,ES,Southeast,221,opposite_sex,4,6,8,13,2,3,24980,10,16,0.000400320256204964,0.000640512409927942
2013,33,RJ,Southeast,all,all,2,8,15,39,0,6,88036,17,41,0.000193102821572993,0.000465718569676042
2013,33,RJ,Southeast,4374,female_same_sex,0,0,0,0,0,0,99,0,0,0,0
2013,33,RJ,Southeast,4373,male_same_sex,0,0,0,0,0,0,112,0,0,0,0
2013,33,RJ,Southeast,221,opposite_sex,2,8,15,39,0,6,87825,17,41,0.000193566752063763,0.000466837460859664
2013,35,SP,Southeast,all,all,0,2,24,86,0,0,280317,24,88,8.56173546377851e-05,0.000313930300338545
2013,35,SP,Southeast,4374,female_same_sex,0,0,0,0,0,0,1048,0,0,0,0
2013,35,SP,Southeast,4373,male_same_sex,0,0,0,0,0,0,897,0,0,0,0
2013,35,SP,Southeast,221,opposite_sex,0,2,24,86,0,0,278372,24,88,8.62155676576667e-05,0.000316123748078111
2013,41,PR,South,all,all,3,11,76,173,1,5,60991,78,179,0.00127887721139184,0.00293485924152744
2013,41,PR,South,4374,female_same_sex,0,0,0,0,0,0,80,0,0,0,0
2013,41,PR,South,4373,male_same_sex,0,0,0,0,0,0,88,0,0,0,0
2013,41,PR,South,221,opposite_sex,3,11,76,173,1,5,60823,78,179,0.00128240961478388,0.00294296565443993
2013,42,SC,South,all,all,0,0,1,11,0,0,31358,1,11,3.18897888895976e-05,0.000350787677785573
2013,42,SC,South,4374,female_same_sex,0,0,0,0,0,0,81,0,0,0,0
2013,42,SC,South,4373,male_same_sex,0,0,0,0,0,0,126,0,0,0,0
2013,42,SC,South,221,opposite_sex,0,0,1,11,0,0,31151,1,11,3.21016981798337e-05,0.000353118679978171
2013,43,RS,South,all,all,1,1,3,19,1,1,41251,3,19,7.27255096846137e-05,0.00046059489466922
2013,43,RS,South,4374,female_same_sex,0,0,0,0,0,0,74,0,0,0,0
2013,43,RS,South,4373,male_same_sex,0,0,0,0,0,0,76,0,0,0,0
2013,43,RS,South,221,opposite_sex,1,1,3,19,1,1,41101,3,19,7.29909247950172e-05,0.000462275857035109
2013,50,MS,Central-West,all,all,6,12,39,84,4,7,14027,41,89,0.00292293434091395,0.00634490625222785
2013,50,MS,Central-West,4374,female_same_sex,0,0,0,0,0,0,31,0,0,0,0
2013,50,MS,Central-West,4373,male_same_sex,0,0,0,0,0,0,12,0,0,0,0
2013,50,MS,Central-West,221,opposite_sex,6,12,39,84,4,7,13984,41,89,0.00293192219679634,0.00636441647597254
