year,quarter,quarter_start,days_in_quarter,geography,age,side,sex,population_stock,population_stock_se,unweighted_n,population_cv,exact_age_day_stock,exact_age_day_stock_se,population_person_time,population_person_time_se,denominator_source,approximation
2014,1,2014-01-01,90,Brazil,16,above,combined,3416532.64317742,48431.6372538839,10579,0.0141756694028955,9354.14866336042,132.601318997334,841873.379702438,11934.1187097601,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,1,2014-01-01,90,Brazil,15,below,female,1691405.07603452,33771.5084991421,5168,0.0199665408231593,4630.90980933084,92.4632497563731,416781.882839776,8321.69247807358,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,1,2014-01-01,90,Brazil,16,above,female,1650911.78579483,31990.8751474779,5048,0.0193777011120409,4520.04294624758,87.5880412259742,406803.865162282,7882.92371033768,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,1,2014-01-01,90,Brazil,15,below,male,1751166.75525233,33864.438030441,5432,0.0193382143241757,4794.53172961068,92.7176821712725,431507.855664962,8344.59139541453,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,1,2014-01-01,90,Brazil,16,above,male,1765620.85738259,36715.5122014132,5531,0.0207946751693007,4834.10571711285,100.523658121421,435069.514540157,9047.12923092791,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,2,2014-04-01,91,Brazil,15,below,combined,3335236.88442358,46324.7714897115,10361,0.0138894996352613,9131.56843582984,126.832916458823,830972.727660515,11541.7953977529,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,2,2014-04-01,91,Brazil,16,above,combined,3435850.40272971,46786.9738164658,10520,0.0136172907235119,9407.03889259796,128.09838344789,856040.539226414,11656.952893758,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,2,2014-04-01,91,Brazil,15,below,female,1627585.39226883,31233.7605560639,4981,0.0191902438449171,4456.17744996497,85.5151318810486,405512.147946812,7781.87700117542,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,2,2014-04-01,91,Brazil,16,above,female,1697372.76744378,32645.0555937429,5108,0.0192326966827127,4647.2487934558,89.3791264536381,422899.640204478,8133.50050728106,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,2,2014-04-01,91,Brazil,15,below,male,1707651.49215475,32846.4983448157,5380,0.0192348957007435,4675.39098586487,89.9306579733073,425460.579713703,8183.68987557097,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,2,2014-04-01,91,Brazil,16,above,male,1738477.63528593,32940.2437550675,5412,0.0189477523820143,4759.79009914216,90.1873241889088,433140.899021937,8207.0465011907,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,3,2014-07-01,92,Brazil,15,below,combined,3405537.10656638,47143.1197483956,10558,0.0138430791599647,9324.04390662746,129.073477890431,857812.039409726,11874.7599659196,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,3,2014-07-01,92,Brazil,16,above,combined,3441307.70118089,48520.0642327057,10532,0.0140993100431141,9421.98046826667,132.843423842257,866822.203080534,12221.5949934877,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,3,2014-07-01,92,Brazil,15,below,female,1687658.53406095,32410.3652977677,5083,0.019204338225802,4620.65212580943,88.7365662478154,425099.995574467,8163.76409479901,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,3,2014-07-01,92,Brazil,16,above,female,1679677.9279973,33053.9224239466,5069,0.0196787264230811,4598.80196854775,90.4985658129779,423089.781106393,8325.86805479397,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,3,2014-07-01,92,Brazil,15,below,male,1717878.57250543,32007.5370857506,5475,0.0186320136929523,4703.39178081803,87.6336600635211,432712.043835259,8062.29672584394,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,3,2014-07-01,92,Brazil,16,above,male,1761629.77318359,34035.3781079206,5463,0.0193203921879751,4823.17849971893,93.1857002071791,443732.421974141,8573.08441906048,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,4,2014-10-01,92,Brazil,15,below,combined,3484702.66315755,47651.8284326078,10823,0.0136745751470886,9540.79183873057,130.466274961451,877752.849163212,12002.8972964535,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,4,2014-10-01,92,Brazil,16,above,combined,3418502.77583029,47570.2830732451,10411,0.0139155315039027,9359.54270335541,130.243011350665,861077.928708698,11982.3570442611,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,4,2014-10-01,92,Brazil,15,below,female,1717580.52601753,33188.6557685359,5236,0.0193229110750859,4702.5757572504,90.867453181204,432636.969667037,8359.80569267077,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,4,2014-10-01,92,Brazil,16,above,female,1674480.25226667,32736.0863800097,5025,0.0195499984760623,4584.5712157448,89.6283602812096,421780.551848522,8245.80914587128,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,4,2014-10-01,92,Brazil,15,below,male,1767122.13714002,32377.2477761081,5587,0.0183220203604651,4838.21608148017,88.6458935532094,445115.879496175,8155.42220689527,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,4,2014-10-01,92,Brazil,16,above,male,1744022.52356362,33401.5126834893,5386,0.0191519961653012,4774.97148761062,91.4502356201409,439297.376860177,8413.42167705296,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,1,2015-01-01,90,Brazil,15,below,combined,3533427.49641639,47901.8404659142,10870,0.0135567633733808,9674.19590112429,131.150784659272,870677.631101187,11803.5706193345,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,1,2015-01-01,90,Brazil,16,above,combined,3360497.46618899,47770.5536137935,10283,0.0142153220153944,9200.72955964596,130.791333466925,828065.660368137,11771.2200120233,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,1,2015-01-01,90,Brazil,15,below,female,1744925.66716567,34709.4044226788,5234,0.0198916235091311,4777.44421080698,95.0311215772502,429969.978972629,8552.80094195252,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,1,2015-01-01,90,Brazil,16,above,female,1638028.74591091,31878.0073882592,4895,0.0194612014397414,4484.77038107808,87.2790197971463,403629.334297027,7855.11178174317,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,1,2015-01-01,90,Brazil,15,below,male,1788501.82925072,32638.4690930496,5636,0.0182490554715973,4896.75169031731,89.3610932272384,440707.652128558,8042.49839045145,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,1,2015-01-01,90,Brazil,16,above,male,1722468.72027808,34491.340907355,5388,0.0200243641590116,4715.95917856788,94.4340839506766,424436.32607111,8499.06755556089,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,2,2015-04-01,91,Brazil,15,below,combined,3526878.06973179,48176.6352021433,10891,0.013659852779035,9656.26417991277,131.903147093077,878720.040372062,12003.18638547,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,2,2015-04-01,91,Brazil,16,above,combined,3401816.61633735,51267.829996371,10235,0.0150707212582111,9313.85755035997,140.36655098016,847561.037082757,12773.3561391945,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,2,2015-04-01,91,Brazil,15,below,female,1730174.81486755,35679.390855338,5271,0.0206218415322786,4737.05774894091,97.6868542279116,431072.255153623,8889.50373473996,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,2,2015-04-01,91,Brazil,16,above,female,1686654.56285743,33745.3552196497,4935,0.0200072711761917,4617.9033460165,92.3916445091951,420229.204487501,8407.63965033676,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,2,2015-04-01,91,Brazil,15,below,male,1796703.25486424,32188.4963862236,5620,0.0179153103324543,4919.20643097186,88.1291098002659,447647.785218439,8019.74899182419,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,2,2015-04-01,91,Brazil,16,above,male,1715162.05347992,38337.8804505397,5300,0.0223523371291683,4695.95420434347,104.96555151862,427331.832595256,9551.86518819445,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,3,2015-07-01,92,Brazil,15,below,combined,3539508.85183682,51588.6451709352,10799,0.0145750857902682,9690.84608674188,141.244913094547,891557.839980253,12994.5320046984,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,3,2015-07-01,92,Brazil,16,above,combined,3468433.06158432,51513.6243083707,10382,0.0148521316092057,9496.24718258231,141.039512949262,873654.740797573,12975.6351913321,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,3,2015-07-01,92,Brazil,15,below,female,1746408.42471793,36389.4698673475,5215,0.0208367466351549,4781.50386309898,99.6309845304079,439898.355405106,9166.05057679753,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,3,2015-07-01,92,Brazil,16,above,female,1717833.42148303,35545.9985693945,4974,0.0206923431136339,4703.26816151743,97.3216385535487,432700.670859604,8953.59074692648,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,3,2015-07-01,92,Brazil,15,below,male,1793100.42711889,33956.0521496396,5584,0.0189370609900525,4909.3422236429,92.9685131101654,451659.484575146,8553.10320613522,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,3,2015-07-01,92,Brazil,16,above,male,1750599.64010129,36767.6258689834,5408,0.0210028752587062,4792.97902106488,100.666340497022,440954.069937969,9261.30332572598,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,4,2015-10-01,92,Brazil,15,below,combined,3563014.1083229,53731.962333164,10651,0.015080479812766,9755.20129317618,147.113116171212,897478.518972208,13534.4066877515,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,4,2015-10-01,92,Brazil,16,above,combined,3475371.58103197,51533.826551985,10356,0.0148282925581968,9515.24420359616,141.09482481361,875402.466730847,12980.7238828521,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
