year,uf_code,uf,region,variable_code,composition,total_marriages
2014,22,PI,Northeast,4373,male_same_sex,1
2014,22,PI,Northeast,221,opposite_sex,12252
2014,23,CE,Northeast,all,all,48371
2014,23,CE,Northeast,4374,female_same_sex,60
2014,23,CE,Northeast,4373,male_same_sex,102
2014,23,CE,Northeast,221,opposite_sex,48209
2014,24,RN,Northeast,all,all,15434
2014,24,RN,Northeast,4374,female_same_sex,27
2014,24,RN,Northeast,4373,male_same_sex,20
2014,24,RN,Northeast,221,opposite_sex,15387
2014,25,PB,Northeast,all,all,20537
2014,25,PB,Northeast,4374,female_same_sex,15
2014,25,PB,Northeast,4373,male_same_sex,16
2014,25,PB,Northeast,221,opposite_sex,20506
2014,26,PE,Northeast,all,all,52846
2014,26,PE,Northeast,4374,female_same_sex,56
2014,26,PE,Northeast,4373,male_same_sex,121
2014,26,PE,Northeast,221,opposite_sex,52669
2014,27,AL,Northeast,all,all,17550
2014,27,AL,Northeast,4374,female_same_sex,15
2014,27,AL,Northeast,4373,male_same_sex,3
2014,27,AL,Northeast,221,opposite_sex,17532
2014,28,SE,Northeast,all,all,8796
2014,28,SE,Northeast,4374,female_same_sex,6
2014,28,SE,Northeast,4373,male_same_sex,2
2014,28,SE,Northeast,221,opposite_sex,8788
2014,29,BA,Northeast,all,all,59594
2014,29,BA,Northeast,4374,female_same_sex,40
2014,29,BA,Northeast,4373,male_same_sex,94
2014,29,BA,Northeast,221,opposite_sex,59460
2014,31,MG,Southeast,all,all,118388
2014,31,MG,Southeast,4374,female_same_sex,168
2014,31,MG,Southeast,4373,male_same_sex,163
2014,31,MG,Southeast,221,opposite_sex,118057
2014,32,ES,Southeast,all,all,26282
2014,32,ES,Southeast,4374,female_same_sex,22
2014,32,ES,Southeast,4373,male_same_sex,41
2014,32,ES,Southeast,221,opposite_sex,26219
2014,33,RJ,Southeast,all,all,93804
2014,33,RJ,Southeast,4374,female_same_sex,260
2014,33,RJ,Southeast,4373,male_same_sex,241
2014,33,RJ,Southeast,221,opposite_sex,93303
2014,35,SP,Southeast,all,all,297477
2014,35,SP,Southeast,4374,female_same_sex,1152
2014,35,SP,Southeast,4373,male_same_sex,898
2014,35,SP,Southeast,221,opposite_sex,295427
2014,41,PR,South,all,all,64060
2014,41,PR,South,4374,female_same_sex,113
2014,41,PR,South,4373,male_same_sex,81
2014,41,PR,South,221,opposite_sex,63866
2014,42,SC,South,all,all,32422
2014,42,SC,South,4374,female_same_sex,137
2014,42,SC,South,4373,male_same_sex,205
2014,42,SC,South,221,opposite_sex,32080
2014,43,RS,South,all,all,41463
2014,43,RS,South,4374,female_same_sex,106
2014,43,RS,South,4373,male_same_sex,106
2014,43,RS,South,221,opposite_sex,41251
2014,50,MS,Central-West,all,all,15366
2014,50,MS,Central-West,4374,female_same_sex,19
2014,50,MS,Central-West,4373,male_same_sex,32
2014,50,MS,Central-West,221,opposite_sex,15315
2014,51,MT,Central-West,all,all,16107
2014,51,MT,Central-West,4374,female_same_sex,11
2014,51,MT,Central-West,4373,male_same_sex,12
2014,51,MT,Central-West,221,opposite_sex,16084
2014,52,GO,Central-West,all,all,43394
2014,52,GO,Central-West,4374,female_same_sex,58
2014,52,GO,Central-West,4373,male_same_sex,72
2014,52,GO,Central-West,221,opposite_sex,43264
2014,53,DF,Central-West,all,all,18508
2014,53,DF,Central-West,4374,female_same_sex,61
2014,53,DF,Central-West,4373,male_same_sex,68
2014,53,DF,Central-West,221,opposite_sex,18379
2015,11,RO,North,all,all,14892
2015,11,RO,North,4374,female_same_sex,11
2015,11,RO,North,4373,male_same_sex,7
2015,11,RO,North,221,opposite_sex,14874
2015,12,AC,North,all,all,5244
2015,12,AC,North,4374,female_same_sex,6
2015,12,AC,North,4373,male_same_sex,0
2015,12,AC,North,221,opposite_sex,5238
2015,13,AM,North,all,all,18380
2015,13,AM,North,4374,female_same_sex,54
2015,13,AM,North,4373,male_same_sex,44
2015,13,AM,North,221,opposite_sex,18282
2015,14,RR,North,all,all,2575
2015,14,RR,North,4374,female_same_sex,6
2015,14,RR,North,4373,male_same_sex,1
2015,14,RR,North,221,opposite_sex,2568
2015,15,PA,North,all,all,31874
2015,15,PA,North,4374,female_same_sex,32
2015,15,PA,North,4373,male_same_sex,55
2015,15,PA,North,221,opposite_sex,31787
2015,16,AP,North,all,all,2304
2015,16,AP,North,4374,female_same_sex,3
2015,16,AP,North,4373,male_same_sex,3
2015,16,AP,North,221,opposite_sex,2298
2015,17,TO,North,all,all,7482
2015,17,TO,North,4374,female_same_sex,2
2015,17,TO,North,4373,male_same_sex,6
2015,17,TO,North,221,opposite_sex,7474
2015,21,MA,Northeast,all,all,25855
2015,21,MA,Northeast,4374,female_same_sex,24
2015,21,MA,Northeast,4373,male_same_sex,50
2015,21,MA,Northeast,221,opposite_sex,25781
2015,22,PI,Northeast,all,all,12377
2015,22,PI,Northeast,4374,female_same_sex,9
2015,22,PI,Northeast,4373,male_same_sex,7
2015,22,PI,Northeast,221,opposite_sex,12361
2015,23,CE,Northeast,all,all,47590
2015,23,CE,Northeast,4374,female_same_sex,223
2015,23,CE,Northeast,4373,male_same_sex,246
2015,23,CE,Northeast,221,opposite_sex,47121
2015,24,RN,Northeast,all,all,16104
2015,24,RN,Northeast,4374,female_same_sex,31
2015,24,RN,Northeast,4373,male_same_sex,17
2015,24,RN,Northeast,221,opposite_sex,16056
2015,25,PB,Northeast,all,all,18974
2015,25,PB,Northeast,4374,female_same_sex,31
2015,25,PB,Northeast,4373,male_same_sex,18
2015,25,PB,Northeast,221,opposite_sex,18925
2015,26,PE,Northeast,all,all,50919
2015,26,PE,Northeast,4374,female_same_sex,129
2015,26,PE,Northeast,4373,male_same_sex,74
2015,26,PE,Northeast,221,opposite_sex,50716
2015,27,AL,Northeast,all,all,18049
2015,27,AL,Northeast,4374,female_same_sex,29
2015,27,AL,Northeast,4373,male_same_sex,19
2015,27,AL,Northeast,221,opposite_sex,18001
2015,28,SE,Northeast,all,all,8241
2015,28,SE,Northeast,4374,female_same_sex,16
2015,28,SE,Northeast,4373,male_same_sex,7
2015,28,SE,Northeast,221,opposite_sex,8218
2015,29,BA,Northeast,all,all,60039
2015,29,BA,Northeast,4374,female_same_sex,61
2015,29,BA,Northeast,4373,male_same_sex,56
2015,29,BA,Northeast,221,opposite_sex,59922
2015,31,MG,Southeast,all,all,120213
2015,31,MG,Southeast,4374,female_same_sex,201
2015,31,MG,Southeast,4373,male_same_sex,177
2015,31,MG,Southeast,221,opposite_sex,119835
2015,32,ES,Southeast,all,all,28359
2015,32,ES,Southeast,4374,female_same_sex,37
2015,32,ES,Southeast,4373,male_same_sex,42
2015,32,ES,Southeast,221,opposite_sex,28280
2015,33,RJ,Southeast,all,all,106066
2015,33,RJ,Southeast,4374,female_same_sex,337
2015,33,RJ,Southeast,4373,male_same_sex,275
2015,33,RJ,Southeast,221,opposite_sex,105454
2015,35,SP,Southeast,all,all,305391
2015,35,SP,Southeast,4374,female_same_sex,1150
2015,35,SP,Southeast,4373,male_same_sex,858
2015,35,SP,Southeast,221,opposite_sex,303383
2015,41,PR,South,all,all,65264
2015,41,PR,South,4374,female_same_sex,137
2015,41,PR,South,4373,male_same_sex,160
2015,41,PR,South,221,opposite_sex,64967
2015,42,SC,South,all,all,33169
2015,42,SC,South,4374,female_same_sex,139
2015,42,SC,South,4373,male_same_sex,210
2015,42,SC,South,221,opposite_sex,32820
2015,43,RS,South,all,all,41416
2015,43,RS,South,4374,female_same_sex,103
2015,43,RS,South,4373,male_same_sex,108
2015,43,RS,South,221,opposite_sex,41205
2015,50,MS,Central-West,all,all,17420
2015,50,MS,Central-West,4374,female_same_sex,45
2015,50,MS,Central-West,4373,male_same_sex,23
2015,50,MS,Central-West,221,opposite_sex,17352
2015,51,MT,Central-West,all,all,16327
2015,51,MT,Central-West,4374,female_same_sex,11
2015,51,MT,Central-West,4373,male_same_sex,14
2015,51,MT,Central-West,221,opposite_sex,16302
2015,52,GO,Central-West,all,all,42925
2015,52,GO,Central-West,4374,female_same_sex,95
2015,52,GO,Central-West,4373,male_same_sex,95
2015,52,GO,Central-West,221,opposite_sex,42735
2015,53,DF,Central-West,all,all,19899
2015,53,DF,Central-West,4374,female_same_sex,64
2015,53,DF,Central-West,4373,male_same_sex,56
2015,53,DF,Central-West,221,opposite_sex,19779
2016,11,RO,North,all,all,13980
2016,11,RO,North,4374,female_same_sex,15
2016,11,RO,North,4373,male_same_sex,8
2016,11,RO,North,221,opposite_sex,13957
2016,12,AC,North,all,all,5121
2016,12,AC,North,4374,female_same_sex,5
2016,12,AC,North,4373,male_same_sex,0
2016,12,AC,North,221,opposite_sex,5116
2016,13,AM,North,all,all,16977
2016,13,AM,North,4374,female_same_sex,39
2016,13,AM,North,4373,male_same_sex,31
2016,13,AM,North,221,opposite_sex,16907
2016,14,RR,North,all,all,2317
2016,14,RR,North,4374,female_same_sex,2
2016,14,RR,North,4373,male_same_sex,2
2016,14,RR,North,221,opposite_sex,2313
2016,15,PA,North,all,all,33773
2016,15,PA,North,4374,female_same_sex,41
2016,15,PA,North,4373,male_same_sex,35
2016,15,PA,North,221,opposite_sex,33697
2016,16,AP,North,all,all,2764
2016,16,AP,North,4374,female_same_sex,5
2016,16,AP,North,4373,male_same_sex,1
2016,16,AP,North,221,opposite_sex,2758
2016,17,TO,North,all,all,6761
2016,17,TO,North,4374,female_same_sex,7
2016,17,TO,North,4373,male_same_sex,4
2016,17,TO,North,221,opposite_sex,6750
2016,21,MA,Northeast,all,all,23504
2016,21,MA,Northeast,4374,female_same_sex,15
2016,21,MA,Northeast,4373,male_same_sex,5
2016,21,MA,Northeast,221,opposite_sex,23484
2016,22,PI,Northeast,all,all,10743
2016,22,PI,Northeast,4374,female_same_sex,15
2016,22,PI,Northeast,4373,male_same_sex,7
2016,22,PI,Northeast,221,opposite_sex,10721
2016,23,CE,Northeast,all,all,44128
2016,23,CE,Northeast,4374,female_same_sex,138
2016,23,CE,Northeast,4373,male_same_sex,83
2016,23,CE,Northeast,221,opposite_sex,43907
2016,24,RN,Northeast,all,all,15898
2016,24,RN,Northeast,4374,female_same_sex,32
2016,24,RN,Northeast,4373,male_same_sex,28
2016,24,RN,Northeast,221,opposite_sex,15838
2016,25,PB,Northeast,all,all,16836
2016,25,PB,Northeast,4374,female_same_sex,30
2016,25,PB,Northeast,4373,male_same_sex,28
2016,25,PB,Northeast,221,opposite_sex,16778
2016,26,PE,Northeast,all,all,50935
2016,26,PE,Northeast,4374,female_same_sex,119
2016,26,PE,Northeast,4373,male_same_sex,48
2016,26,PE,Northeast,221,opposite_sex,50768
2016,27,AL,Northeast,all,all,15789
2016,27,AL,Northeast,4374,female_same_sex,20
2016,27,AL,Northeast,4373,male_same_sex,12
2016,27,AL,Northeast,221,opposite_sex,15757
2016,28,SE,Northeast,all,all,7832
2016,28,SE,Northeast,4374,female_same_sex,10
2016,28,SE,Northeast,4373,male_same_sex,11
2016,28,SE,Northeast,221,opposite_sex,7811
2016,29,BA,Northeast,all,all,60734
2016,29,BA,Northeast,4374,female_same_sex,88
2016,29,BA,Northeast,4373,male_same_sex,79
2016,29,BA,Northeast,221,opposite_sex,60567
2016,31,MG,Southeast,all,all,110201
2016,31,MG,Southeast,4374,female_same_sex,196
2016,31,MG,Southeast,4373,male_same_sex,197
2016,31,MG,Southeast,221,opposite_sex,109808
2016,32,ES,Southeast,all,all,26510
2016,32,ES,Southeast,4374,female_same_sex,30
2016,32,ES,Southeast,4373,male_same_sex,30
2016,32,ES,Southeast,221,opposite_sex,26450
2016,33,RJ,Southeast,all,all,105962
2016,33,RJ,Southeast,4374,female_same_sex,303
2016,33,RJ,Southeast,4373,male_same_sex,275
2016,33,RJ,Southeast,221,opposite_sex,105384
2016,35,SP,Southeast,all,all,296545
2016,35,SP,Southeast,4374,female_same_sex,1202
2016,35,SP,Southeast,4373,male_same_sex,892
2016,35,SP,Southeast,221,opposite_sex,294451
2016,41,PR,South,all,all,61868
2016,41,PR,South,4374,female_same_sex,112
2016,41,PR,South,4373,male_same_sex,118
2016,41,PR,South,221,opposite_sex,61638
2016,42,SC,South,all,all,33071
2016,42,SC,South,4374,female_same_sex,137
2016,42,SC,South,4373,male_same_sex,245
2016,42,SC,South,221,opposite_sex,32689
2016,43,RS,South,all,all,39218
2016,43,RS,South,4374,female_same_sex,131
2016,43,RS,South,4373,male_same_sex,89
2016,43,RS,South,221,opposite_sex,38998
2016,50,MS,Central-West,all,all,17447
2016,50,MS,Central-West,4374,female_same_sex,74
2016,50,MS,Central-West,4373,male_same_sex,32
2016,50,MS,Central-West,221,opposite_sex,17341
2016,51,MT,Central-West,all,all,17344
2016,51,MT,Central-West,4374,female_same_sex,13
2016,51,MT,Central-West,4373,male_same_sex,4
2016,51,MT,Central-West,221,opposite_sex,17327
2016,52,GO,Central-West,all,all,38820
2016,52,GO,Central-West,4374,female_same_sex,91
2016,52,GO,Central-West,4373,male_same_sex,75
2016,52,GO,Central-West,221,opposite_sex,38654
2016,53,DF,Central-West,all,all,20457
2016,53,DF,Central-West,4374,female_same_sex,73
2016,53,DF,Central-West,4373,male_same_sex,72
2016,53,DF,Central-West,221,opposite_sex,20312
2017,11,RO,North,all,all,13695
2017,11,RO,North,4374,female_same_sex,10
2017,11,RO,North,4373,male_same_sex,13
2017,11,RO,North,221,opposite_sex,13672
2017,12,AC,North,all,all,5627
2017,12,AC,North,4374,female_same_sex,16
2017,12,AC,North,4373,male_same_sex,3
2017,12,AC,North,221,opposite_sex,5608
2017,13,AM,North,all,all,16131
2017,13,AM,North,4374,female_same_sex,22
2017,13,AM,North,4373,male_same_sex,13
2017,13,AM,North,221,opposite_sex,16096
2017,14,RR,North,all,all,2232
2017,14,RR,North,4374,female_same_sex,5
2017,14,RR,North,4373,male_same_sex,6
2017,14,RR,North,221,opposite_sex,2221
2017,15,PA,North,all,all,33768
2017,15,PA,North,4374,female_same_sex,62
2017,15,PA,North,4373,male_same_sex,38
2017,15,PA,North,221,opposite_sex,33668
2017,16,AP,North,all,all,3071
2017,16,AP,North,4374,female_same_sex,7
2017,16,AP,North,4373,male_same_sex,3
2017,16,AP,North,221,opposite_sex,3061
2017,17,TO,North,all,all,6641
2017,17,TO,North,4374,female_same_sex,7
2017,17,TO,North,4373,male_same_sex,4
2017,17,TO,North,221,opposite_sex,6630
2017,21,MA,Northeast,all,all,24317
2017,21,MA,Northeast,4374,female_same_sex,4
2017,21,MA,Northeast,4373,male_same_sex,10
2017,21,MA,Northeast,221,opposite_sex,24303
2017,22,PI,Northeast,all,all,10033
2017,22,PI,Northeast,4374,female_same_sex,18
2017,22,PI,Northeast,4373,male_same_sex,4
2017,22,PI,Northeast,221,opposite_sex,10011
2017,23,CE,Northeast,all,all,38826
2017,23,CE,Northeast,4374,female_same_sex,125
2017,23,CE,Northeast,4373,male_same_sex,92
2017,23,CE,Northeast,221,opposite_sex,38609
2017,24,RN,Northeast,all,all,16884
2017,24,RN,Northeast,4374,female_same_sex,48
2017,24,RN,Northeast,4373,male_same_sex,23
2017,24,RN,Northeast,221,opposite_sex,16813
2017,25,PB,Northeast,all,all,16487
2017,25,PB,Northeast,4374,female_same_sex,40
2017,25,PB,Northeast,4373,male_same_sex,49
2017,25,PB,Northeast,221,opposite_sex,16398
2017,26,PE,Northeast,all,all,47864
2017,26,PE,Northeast,4374,female_same_sex,105
2017,26,PE,Northeast,4373,male_same_sex,51
2017,26,PE,Northeast,221,opposite_sex,47708
2017,27,AL,Northeast,all,all,14747
2017,27,AL,Northeast,4374,female_same_sex,34
2017,27,AL,Northeast,4373,male_same_sex,10
2017,27,AL,Northeast,221,opposite_sex,14703
2017,28,SE,Northeast,all,all,7545
2017,28,SE,Northeast,4374,female_same_sex,11
2017,28,SE,Northeast,4373,male_same_sex,12
2017,28,SE,Northeast,221,opposite_sex,7522
2017,29,BA,Northeast,all,all,64578
2017,29,BA,Northeast,4374,female_same_sex,81
2017,29,BA,Northeast,4373,male_same_sex,59
2017,29,BA,Northeast,221,opposite_sex,64438
2017,31,MG,Southeast,all,all,110690
2017,31,MG,Southeast,4374,female_same_sex,250
2017,31,MG,Southeast,4373,male_same_sex,197
2017,31,MG,Southeast,221,opposite_sex,110243
2017,32,ES,Southeast,all,all,24490
2017,32,ES,Southeast,4374,female_same_sex,49
2017,32,ES,Southeast,4373,male_same_sex,35
2017,32,ES,Southeast,221,opposite_sex,24406
2017,33,RJ,Southeast,all,all,95457
2017,33,RJ,Southeast,4374,female_same_sex,299
2017,33,RJ,Southeast,4373,male_same_sex,209
2017,33,RJ,Southeast,221,opposite_sex,94949
2017,35,SP,Southeast,all,all,291943
2017,35,SP,Southeast,4374,female_same_sex,1495
2017,35,SP,Southeast,4373,male_same_sex,1002
2017,35,SP,Southeast,221,opposite_sex,289446
2017,41,PR,South,all,all,60609
2017,41,PR,South,4374,female_same_sex,164
2017,41,PR,South,4373,male_same_sex,109
2017,41,PR,South,221,opposite_sex,60336
2017,42,SC,South,all,all,34098
2017,42,SC,South,4374,female_same_sex,135
2017,42,SC,South,4373,male_same_sex,215
2017,42,SC,South,221,opposite_sex,33748
2017,43,RS,South,all,all,39369
2017,43,RS,South,4374,female_same_sex,128
2017,43,RS,South,4373,male_same_sex,121
2017,43,RS,South,221,opposite_sex,39120
2017,50,MS,Central-West,all,all,16650
2017,50,MS,Central-West,4374,female_same_sex,73
2017,50,MS,Central-West,4373,male_same_sex,44
2017,50,MS,Central-West,221,opposite_sex,16533
2017,51,MT,Central-West,all,all,17580
2017,51,MT,Central-West,4374,female_same_sex,21
2017,51,MT,Central-West,4373,male_same_sex,15
2017,51,MT,Central-West,221,opposite_sex,17544
2017,52,GO,Central-West,all,all,36689
2017,52,GO,Central-West,4374,female_same_sex,96
2017,52,GO,Central-West,4373,male_same_sex,74
2017,52,GO,Central-West,221,opposite_sex,36519
2017,53,DF,Central-West,all,all,20355
2017,53,DF,Central-West,4374,female_same_sex,82
2017,53,DF,Central-West,4373,male_same_sex,89
2017,53,DF,Central-West,221,opposite_sex,20184
2018,11,RO,North,all,all,13541
2018,11,RO,North,4374,female_same_sex,18
