estimate,std_error,statistic,p_value,ci_lower,ci_upper,sex,age_specific_trends,model,frequency,controls,years,observations,year_clusters,rate_ratio,percent_change,interpretation
-0.0396891243584631,0.231138323985114,-0.171711569393482,0.863664289854181,-0.492711914816237,0.413333666099311,combined,TRUE,PPML,annual,17-19,"2013,2014,2015,2016,2017,2018,2022,2023,2024",972,9,0.961088171617519,-3.8911828382481,annual UF robustness; 2019 and 2020-2021 absent/omitted
-0.983545826054512,0.224760350151292,-4.3759756798406,1.20890493771283e-05,-1.42406801750366,-0.543023634605368,combined,FALSE,PPML,annual,17-19,"2013,2014,2015,2016,2017,2018,2022,2023,2024",972,9,0.373982667563532,-62.6017332436468,annual UF robustness; 2019 and 2020-2021 absent/omitted
-0.0693255644712988,0.214418668465666,-0.32331869686244,0.74645389571416,-0.489578432277039,0.350927303334441,female,TRUE,PPML,annual,17-19,"2013,2014,2015,2016,2017,2018,2022,2023,2024",972,9,0.933022871528372,-6.69771284716283,annual UF robustness; 2019 and 2020-2021 absent/omitted
-0.953435561261212,0.202672386636124,-4.70431901003366,2.54714710110587e-06,-1.35066613972879,-0.556204982793631,female,FALSE,PPML,annual,17-19,"2013,2014,2015,2016,2017,2018,2022,2023,2024",972,9,0.385414630732552,-61.4585369267448,annual UF robustness; 2019 and 2020-2021 absent/omitted
0.913266138408992,0.541924502332796,1.68522761838171,0.0919446644536606,-0.14888636850308,1.97541864532106,male,TRUE,PPML,annual,17-19,"2013,2014,2015,2016,2017,2018,2022,2023,2024",954,9,2.49244994002389,149.244994002389,annual UF robustness; 2019 and 2020-2021 absent/omitted
-1.19200297326906,0.543051906430516,-2.19500743695773,0.028163064270256,-2.25636515160868,-0.127640794929429,male,FALSE,PPML,annual,17-19,"2013,2014,2015,2016,2017,2018,2022,2023,2024",954,9,0.3036125268526,-69.63874731474,annual UF robustness; 2019 and 2020-2021 absent/omitted
