term,estimate,std_error_uf_cluster,statistic,p_value_uf_cluster,year,ci_lower,ci_upper,inference_status
year::2013:exposure_treated,-0.424332576173461,0.155663127634425,-2.72596717425598,0.00641133741741898,2013,-0.729426700057796,-0.119238452289126,diagnostic: annual national timing and 27 UF clusters
year::2014:exposure_treated,-0.316360387535045,0.0924994443259365,-3.42013284339632,0.000625905625519561,2014,-0.497655967003849,-0.135064808066242,diagnostic: annual national timing and 27 UF clusters
year::2015:exposure_treated,-0.202698393784732,0.0841404718206638,-2.40904750589896,0.0159942159037006,2015,-0.36761068819544,-0.0377860993740235,diagnostic: annual national timing and 27 UF clusters
year::2016:exposure_treated,-0.0845398054865953,0.0816511285702295,-1.03537828523559,0.30049228265953,2016,-0.244573076781294,0.0754934658081039,diagnostic: annual national timing and 27 UF clusters
year::2017:exposure_treated,-0.156665332947345,0.0289768487687637,-5.40656902334481,6.42434766069887e-08,2017,-0.213458912919586,-0.0998717529751043,diagnostic: annual national timing and 27 UF clusters
year::2022:exposure_treated,-0.0449280122318789,0.106677810707107,-0.421156114229156,0.673641088153246,2022,-0.254012679167391,0.164156654703633,diagnostic: annual national timing and 27 UF clusters
year::2023:exposure_treated,-0.0629720707599116,0.187735565997941,-0.335429626374591,0.737301022521359,2023,-0.430927018733118,0.304982877213295,diagnostic: annual national timing and 27 UF clusters
year::2024:exposure_treated,-0.334705804665299,0.153681074444051,-2.17792467859894,0.02941164485819,2024,-0.635915175681058,-0.0334964336495402,diagnostic: annual national timing and 27 UF clusters
