variant,controls,estimate,std_error,p_value,rate_ratio,percent_change
Primary: age trends,17-19,-0.0107762712655847,0.0765401853316733,0.888034000065577,0.989281584735128,-1.07184152648725
No age trends,17-19,-0.475569109537425,0.0730139986070769,7.34703254783109e-11,0.62153123643893,-37.8468763561071
Alternative controls with age trends,18-19,-0.00290251711781526,0.0789134969310051,0.970659625750456,0.997101691112523,-0.289830888747711
Alternative controls with age trends,16-17,-0.0332029095035232,0.0704602018934271,0.63747701868209,0.967342256736797,-3.26577432632031
