age,quarter,mean_rate_100k,sd_rate_100k,minimum_rate_100k,maximum_rate_100k,quarters_observed
15,1,3.64801794496774,1.23892597176331,2.11279856695327,5.15080612760796,6
16,1,108.552015187289,21.7634757662237,79.2709819175432,131.108868741838,6
17,1,150.827991697574,28.1874949736643,107.096036446164,175.889759842617,6
18,1,306.314378442911,34.9594794631741,253.404436900859,343.369578249264,6
19,1,403.008405293279,43.3368839939079,329.315755379241,450.205561980901,6
15,2,3.79647290084395,1.14996034131745,2.31141579297018,5.12707210689035,6
16,2,106.428232761634,20.774735789535,79.799318451618,129.346472262085,6
17,2,143.55569485958,26.877254327844,107.692607521944,171.467255054347,6
18,2,306.097257103719,38.5747474940214,252.99977581093,337.945957684024,6
19,2,402.950171930555,39.6085181023293,348.250548959765,434.699048801095,6
15,3,4.16514723652904,1.77275810049813,2.14897290408467,5.97604282026291,6
16,3,110.138296544835,23.495681004835,80.0520655372763,138.502849048471,6
17,3,148.371021484489,27.3183622955462,112.139329471447,177.088916760928,6
18,3,317.131387514134,35.9282868047976,258.146707426086,346.673704845949,6
19,3,423.823152451582,43.6332449808089,357.774039722693,468.918816148159,6
15,4,4.97183787937128,1.76484882739893,3.07577522009459,7.54727233346478,6
16,4,133.54664969713,32.3161211639609,93.8886316079199,170.562307337208,6
17,4,194.941134848152,42.8799349832116,147.406179266986,244.167515310706,6
18,4,401.984826996819,61.3797026891952,318.743071163733,463.339268110712,6
19,4,543.594991067612,70.1570065591313,459.797678815262,632.446057962057,6
