specification,coef_log,se_log,p_value,rate_ratio,pct_change,ci_lower_pct,ci_upper_pct,n_cells,n_treated_post_events,p_holm
S4_fertility_age15,0.0160121932398135,0.0149484656595728,0.284097651155186,1.01614107538237,1.61410753823741,-1.31983885357817,4.63528566265299,460,26329,0.284097651155186
S4_fertility_age14,-0.0302663695713765,0.016610524869408,0.0684367797230329,0.970187070812525,-2.9812929187475,-6.08897554571282,0.229228446971463,460,11021,0.136873559446066
