estimate,std_error,statistic,p_value,ci_lower,ci_upper,pseudo_reform,pseudo_post_quarters,observations,periods,studentized_absolute,actual_studentized_absolute,randomization_p_value
-0.230554961286889,0.0753295827399769,-3.06061646568149,0.00220881836318039,-0.378198230427674,-0.0829116921461046,2015Q2,3,240,12,3.06061646568149,0.140792333058611,1
-0.178071663887769,0.104447060611701,-1.70489875775231,0.0882133081119751,-0.382784140977775,0.0266408132022367,2016Q2,3,320,16,1.70489875775231,0.140792333058611,1
-0.173398909585429,0.118541608250751,-1.46276832366437,0.143530783453191,-0.405736192426357,0.0589383732554989,2017Q2,3,400,20,1.46276832366437,0.140792333058611,1
0.0314973969270992,0.0755989243670187,0.416638162392168,0.676943091297078,-0.116673772102225,0.179668565956423,2018Q2,3,480,24,0.416638162392168,0.140792333058611,1
