model_id,rolling_window_rmse,rolling_window_mae,rolling_window_mean_error,rolling_window_max_abs_error,windows_within_1_15,windows_within_1_20,placebo_windows,calibration_tier,tier_order,rolling_rank,target_training_start,target_training_end,target_training_periods,target_log_effect,target_percent_change,bootstrap_se,ci_lower_log,ci_upper_log,ci_lower_percent,ci_upper_percent,p_value,bootstrap_replications,block_length,inverse_mse_weight_raw,ensemble_weight
global_linear,0.13068127253719,0.114212778605403,-0.0545518014088113,0.233204620529273,4,5,6,fail,3,1,2013Q1,2018Q4,24,0.0197780163584076,1.99748971523761,0.103104550226765,-0.194139464103812,0.210347851903655,-17.6456958433092,23.4107271865158,0.853,1999,4,58.5562545822173,0.358343346240237
local_linear_12,0.156078328647445,0.136677431967392,0.0913424761652722,0.219389861137992,3,4,6,fail,3,2,2016Q1,2018Q4,12,0.0107985130444398,1.08570274195021,0.0852793516990488,-0.155102477397549,0.172479836006174,-14.3672581218278,18.82478605509,0.8885,1999,4,41.0501537803521,0.251212267148571
local_linear_16,0.157481526229102,0.147322993489049,0.00962473454196678,0.233204620529273,3,4,6,fail,3,3,2015Q1,2018Q4,16,0.0964285134113624,10.1230855092766,0.11354684193623,-0.114270413126895,0.314956771204161,-10.7983289761974,37.02000775773,0.4205,1999,4,40.3218797217199,0.246755490242121
global_quadratic,0.242987752245745,0.207230768630629,0.207230768630629,0.377131228961112,2,3,6,fail,3,4,2013Q1,2018Q4,24,0.120804207224276,12.84039573944,0.139462726189288,-0.146147496413972,0.39377915882528,-13.5969747578187,48.2573099334071,0.4095,1999,4,16.9367950716093,0.103647131529289
seasonal_level,0.390936681334171,0.386636280726469,-0.386636280726469,0.469798453966019,0,0,6,fail,3,5,2013Q1,2018Q4,24,-0.410726845578211,-33.6831945851231,0.235954722829655,-0.7915790298683,-0.00311510375521773,-54.6871273709022,-0.311025685368815,0.0365,1999,4,6.54315421363429,0.0400417648397831
