specification_id,estimate,std_error,statistic,p_value,ci_lower,ci_upper,outcome,sex,controls,window,age_specific_trends,geography_level,geography_value,effect_percentage_points,ci_lower_percentage_points,ci_upper_percentage_points,observations,periods,unweighted_people,unweighted_union_cases,zero_case_cells,dropped_observations,variance_weight_winsorization,p_value_bh,heterogeneity_status
PNADC-CELL-003,0.00379923384358255,0.00215832901834196,1.76026630383775,0.0783626646144923,-0.000431013299155376,0.00802948098632048,union_conservative,female,17-18-19,short_run_clean,TRUE,Brazil,Brazil,0.379923384358255,-0.0431013299155376,0.802948098632048,108,27,511205,46727,0,0,"inverse design variance, 5th/95th percentile",0.0783626646144923,exploratory; rare male events require power warning
PNADC-CELL-005,0.00343759189996358,0.000559855292048803,6.14014362065533,8.244690445635e-10,0.00234029569099377,0.00453488810893339,union_conservative,male,17-18-19,short_run_clean,TRUE,Brazil,Brazil,0.343759189996358,0.234029569099377,0.453488810893339,108,27,547129,10414,1,0,"inverse design variance, 5th/95th percentile",1.648938089127e-09,exploratory; rare male events require power warning
