period,Estimate,Std. Error,pct,ci_lo,ci_hi
2017-03,-0.623782395996133,0.114660193900138,-46.408643808298,-57.1948707492419,-32.9044554067079
2017-04,-0.458541547606665,0.119124432347441,-36.7794985626416,-49.9436665876896,-20.1533246738345
2017-05,-0.629599846195407,0.190524464130011,-46.719503771183,-63.3230222491515,-22.5996400883028
2017-06,-0.384011536529868,0.134884241841336,-31.887643066818,-47.7107716335554,-11.2763123127221
2017-07,-0.222080843477113,0.127510173608736,-19.9149381831079,-37.6244112687617,2.82255056301262
2017-08,-0.439874803744469,0.0902410472464222,-35.5882942920957,-46.0301164839846,-23.126240749241
2017-09,-0.253689907282506,0.19706753689647,-22.4067624276545,-47.2673398479617,14.1742233295191
2017-10,-0.294297398622431,0.158854563830917,-25.4945119803524,-45.4278564579481,1.71980400162124
2017-11,-0.439428943532714,0.245999739009323,-35.5595692721533,-60.2109953125617,4.3647395809679
2017-12,-0.616991656248403,0.143012969523717,-46.0434803940821,-59.2327828200112,-28.5870802726055
2018-01,-0.360756456796462,0.0991270082574211,-30.2851236363304,-42.5951748534345,-15.3352706154437
2018-02,-0.230869356713634,0.151925771671144,-20.615683045846,-41.059303984202,6.91882187119866
2018-03,-0.683030234734078,0.114891038771516,-49.4915852428859,-59.6755634440634,-36.7356328032539
2018-04,-0.483133169226726,0.118977097193918,-38.3152327223888,-51.1455148292998,-22.1154311462266
2018-05,-0.615350041324959,0.190654017047188,-45.9548318227794,-62.8060864072367,-21.4688662428801
2018-06,-0.445026075266661,0.134815972413475,-35.9192433413709,-50.7992110880211,-16.5390745809227
2018-07,-0.662103765222589,0.127612753050072,-48.4234856425108,-59.8368455706478,-33.7667354304173
2018-08,-0.292479802939557,0.0904724846090835,-25.3589679822003,-37.4874353946009,-10.8773780783101
2018-09,-0.0454780650261251,0.197263744586707,-4.44594379006537,-35.0860671123861,40.6566703326881
2018-10,-0.0935109459503291,0.15901972428471,-8.9271951412343,-33.3145822121351,24.3788531283996
2018-11,-0.42250632359265,0.246382496791295,-34.4597890182228,-59.5622789602056,6.22555240708762
2018-12,-0.0583876585114851,0.143780368991927,-5.67157956009067,-28.8366328036156,25.0341468263236
2019-01,-0.300704809362465,0.0986343955028682,-25.9703730976289,-38.9834272147182,-10.1820143424012
2019-02,-0.945228964894414,0.152414306871741,-61.1409412887689,-71.1758186072786,-47.6125124474753
2019-04,-0.254856744716143,0.118845452701807,-22.4972483204211,-38.6017930220795,-2.16853531135623
2019-05,-0.582689850804285,0.190862657437304,-44.1605652805529,-61.5869825722365,-18.8284941256973
2019-06,-0.523515538289874,0.134420036741588,-40.7565842239169,-54.4779777296291,-22.8992444146691
2019-07,-0.596989048301456,0.127870074251668,-44.9533428362884,-57.1562234919873,-29.2748046070937
2019-08,-0.449504598982533,0.0903029627487565,-36.2055888486183,-46.5538272328759,-23.8537264046171
2019-09,-0.340503579893662,0.197209725220393,-28.8588020226104,-51.6656424502433,4.70957526327192
2019-10,-0.0853136987747942,0.159323394609607,-8.17758065875351,-32.8057035668291,25.4772672865955
2019-11,-0.721642647150839,0.246477482660912,-51.4046649906583,-70.0226964796916,-21.2235155483439
2019-12,-0.357874074562171,0.144020043390284,-30.0838888367521,-47.2785701663267,-7.28129689173389
