specification,coef_log,se_log,p_value,rate_ratio,pct_change,ci_lower_pct,ci_upper_pct,n_cells,n_treated_post_events
S1_no_trend,-0.272596901784371,0.0695413701833805,8.8576813527955e-05,0.761399644616153,-23.8600355383847,-33.5616332486314,-12.7417714840707,1420,
S2_no_trend,-0.0372555443007731,0.0119802890632679,0.00187254198012876,0.963429904867612,-3.6570095132388,-5.8928801413733,-1.36801732030384,1420,
S3_no_trend,-0.0379071123801178,0.0120754632846898,0.0016941849246083,0.962802369158234,-3.71976308417662,-5.97171885290833,-1.41387349125438,1420,
S1_controls_18_19,0.264769520256037,0.0769261657975214,0.000577717305432357,1.30313059595786,30.313059595786,12.074876782734,51.5191806468353,1065,
S1_controls_16_19,0.253811183199669,0.0763122502930754,0.000881158518136636,1.28892840995184,28.8928409951837,10.9868921781653,49.6876264734087,1775,
S1_treated_age15_only,0.284238005615284,0.0744367834307649,0.000134257191763742,1.32874914287848,32.874914287848,14.8371199121255,53.7459565383851,1420,
S1_pre_window_2014,0.205241776216009,0.0753597974214528,0.00645958557650775,1.22782188720927,22.7821887209274,5.922688286051,42.3251818004201,1180,
S1_pre_window_2015,0.0148760210197423,0.0859814851896772,0.862640237210732,1.01498721973434,1.49872197343428,-14.2423245750207,20.1290789563516,940,
S1b_missing_as_unmarried,0.255996247392261,0.0758375016070904,0.000736578245201436,1.29174788050752,29.1747880507515,11.3332171094013,49.8755385067153,1420,
S1_exact_age_groups,0.201762228822528,0.0793328279307608,0.0109830524252601,1.22355704692189,22.3557046921886,4.73600311373472,42.9395625730044,1420,
S1_quarterly,0.260122677409923,0.0813083949511915,0.00137804472527567,1.29708920044929,29.7089200449289,10.6012439592231,52.1176736983596,460,
