age,controls,percent_change,estimated_event_effect,event_effect_ci_lower,event_effect_ci_upper,aggregate_recapture
15,17-18-19,-1.07184152648725,-2.10190162934731,-48.3184496681371,31.8337045457243,174.803048167526
16,18-19,0.608529261346313,40.5671943108446,-457.687871688606,518.074828104467,
17,18-19,3.32093771342104,326.851617447355,-135.266780394677,781.017502820716,
