specification_id,estimate,std_error,statistic,p_value,ci_lower,ci_upper,outcome,sex,controls,window,age_specific_trends,geography_level,geography_value,effect_percentage_points,ci_lower_percentage_points,ci_upper_percentage_points,observations,periods,unweighted_people,unweighted_union_cases,zero_case_cells,dropped_observations,variance_weight_winsorization
PNADC-CELL-018,0.00344181898972097,0.000583285980110785,5.90074012933973,3.6187450988121e-09,0.00229859947601668,0.00458503850342525,union_conservative,male,17-18-19,exclude_pandemic,FALSE,Brazil,Brazil,0.344181898972097,0.229859947601668,0.458503850342525,156,39,720742,13257,3,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-019,-0.00100572523497258,0.00183382968260643,-0.548428921459673,0.58339742229582,-0.00459996536666171,0.00258851489671655,union_conservative,combined,17-18-19,post_pandemic,TRUE,Brazil,Brazil,-0.100572523497258,-0.459996536666171,0.258851489671655,144,36,1286337,66721,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-020,0.00754327765525042,0.000905537051914466,8.33017007896319,8.07262968861939e-17,0.00576845764683149,0.00931809766366935,union_conservative,combined,17-18-19,post_pandemic,FALSE,Brazil,Brazil,0.754327765525042,0.576845764683149,0.931809766366935,144,36,1286337,66721,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-021,-0.0010292667488778,0.00336837162048359,-0.305568050335856,0.7599335497293,-0.00763115381157246,0.00557262031381686,union_conservative,female,17-18-19,post_pandemic,TRUE,Brazil,Brazil,-0.10292667488778,-0.763115381157246,0.557262031381686,144,36,620494,54357,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-022,0.0122227143365348,0.00159940141172831,7.64205548832609,2.13781002789159e-14,0.00908794517272482,0.0153574835003448,union_conservative,female,17-18-19,post_pandemic,FALSE,Brazil,Brazil,1.22227143365348,0.908794517272482,1.53574835003448,144,36,620494,54357,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-023,-0.00124486880415228,0.00109508872544962,-1.13677437747444,0.255632617218964,-0.00339120326590941,0.000901465657604857,union_conservative,male,17-18-19,post_pandemic,TRUE,Brazil,Brazil,-0.124486880415228,-0.339120326590941,0.0901465657604857,144,36,665843,12364,2,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-024,0.00242327221726029,0.000475607677022271,5.09510744744941,3.48543519241718e-07,0.00149109829952588,0.0033554461349947,union_conservative,male,17-18-19,post_pandemic,FALSE,Brazil,Brazil,0.242327221726029,0.149109829952588,0.33554461349947,144,36,665843,12364,2,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-025,0.00610124915019914,0.00189479578507992,3.22000354773948,0.00128189010305904,0.00238751765338421,0.00981498064701407,union_conservative,combined,18-19,short_run_clean,TRUE,Brazil,Brazil,0.610124915019914,0.238751765338421,0.981498064701407,81,27,790123,46632,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-026,0.0120436728362254,0.00177746070822859,6.77577444073465,1.23741606421608e-11,0.00855991386416228,0.0155274318082885,union_conservative,combined,18-19,short_run_clean,FALSE,Brazil,Brazil,1.20436728362254,0.855991386416228,1.55274318082885,81,27,790123,46632,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-027,0.0056308447573913,0.00314865944729888,1.78833082829005,0.0737226489503578,-0.000540414358896294,0.0118021038736789,union_conservative,female,18-19,short_run_clean,TRUE,Brazil,Brazil,0.56308447573913,-0.0540414358896294,1.18021038736789,81,27,382070,37552,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-028,0.0143690682077018,0.00271000777176748,5.30222398525825,1.14400356099528e-07,0.00905755057721389,0.0196805858381897,union_conservative,female,18-19,short_run_clean,FALSE,Brazil,Brazil,1.43690682077018,0.905755057721389,1.96805858381897,81,27,382070,37552,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-029,0.00732006177831455,0.00127607590913672,5.73638427455828,9.67190820224316e-09,0.00481899895486737,0.00982112460176173,union_conservative,male,18-19,short_run_clean,TRUE,Brazil,Brazil,0.732006177831455,0.481899895486737,0.982112460176173,81,27,408053,9080,1,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-030,0.00935148000878199,0.00113579030416426,8.23345645274111,1.81887518532289e-16,0.00712537191863025,0.0115775880989337,union_conservative,male,18-19,short_run_clean,FALSE,Brazil,Brazil,0.935148000878199,0.712537191863025,1.15775880989337,81,27,408053,9080,1,0,"inverse design variance, 5th/95th percentile"
