estimand,estimand_role,model_id,outcome_id,sample_id,bandwidth_days,polynomial_order,vcov_id,fixed_effects,donut_days,identified,n,n_outcome_events,n_municipality_clusters,n_date_clusters,n_distance_clusters,estimate_pp,std_error_pp,ci90_low_pp,ci90_high_pp,ci95_low_pp,ci95_high_pp,p_value,p_value_holm_auxiliary_family,holm_rank,holm_confidence_level,holm_ci_low_pp,holm_ci_high_pp,equivalent_at_90pct,policy_relevant_margin_pp,pre_below_weighted_share_percent,estimate_relative_to_pre_below_percent,mde80_pp,slope_kink_phi_pp_per_day,slope_kink_phi_std_error,slope_kink_phi_p_value,joint_wald_statistic,joint_wald_p_value,joint_wald_df1,joint_wald_df2,supported_positive_condition,contrary_effect_condition,delayed_response_condition,informative_no_local_profile_condition,informative_no_jump_condition,g3_classification,error_message,warnings
TAU,primary_immediate_jump_change,G3_PRIMARY_TAU,MARRIED,primary,90,1,two_way,year + birth_month,0,TRUE,126138,1342,5183,2192,179,0.341957729241777,0.245726540733899,-0.0623974300495076,0.746312888533061,-0.139923641776363,0.823839100259917,0.164179056916315,0.328358113832631,1,0.975,-0.209193230142798,0.893108688626352,FALSE,0.25,0.909458767665295,37.6001355311169,0.688034314054916,-0.000419407873693572,0.00530624278151414,0.937007658674517,0.969369920595729,0.379324792077044,2,126115,FALSE,FALSE,FALSE,FALSE,FALSE,INCONCLUSIVE,,""
DELAY90,secondary_delay_sensitive_profile,G3_DELAY90,MARRIED,primary,90,1,two_way,year + birth_month,0,TRUE,126138,1342,5183,2192,179,0.323084374925396,0.32688054558373,-0.214813707568943,0.860982457419733,-0.31794383877344,0.964112588624231,0.323072448090215,0.328358113832631,2,0.95,-0.31794383877344,0.964112588624231,FALSE,0.25,0.909458767665295,,,-0.000419407873693572,0.00530624278151414,0.937007658674517,0.969369920595729,0.379324792077044,2,126115,FALSE,FALSE,FALSE,FALSE,FALSE,INCONCLUSIVE,,""
