exposure,estimate_per_preperiod_sd,std_error_cluster_year,p_value_cluster_year,rate_ratio_gradient,percent_gradient,ufs,years,year_clusters
raw affected-marriage share,0.092726303022909,0.0971440044387482,0.339818366081641,1.09716140441036,9.71614044103648,27,9,9
empirical-Bayes affected-marriage share,0.0943448344743632,0.0972524528656835,0.331995470552996,1.09893863251254,9.89386325125392,27,9,9
