model_id,outcome_id,sample_id,bandwidth_days,polynomial_order,vcov_id,fixed_effects,donut_days,identified,n,n_outcome_events,n_municipality_clusters,n_date_clusters,n_distance_clusters,estimate_pp,std_error_pp,ci90_low_pp,ci90_high_pp,ci95_low_pp,ci95_high_pp,p_value,error_message,warnings,expected_sign,p_value_holm,rejects_raw_at_5pct,rejects_holm_at_5pct,multiplicity_family
G3_SECONDARY_UNIAO_ESTAVEL,UNIAO_ESTAVEL,primary,90,1,two_way,year + birth_month,0,TRUE,126138,27924,5183,2192,179,-0.627579227966591,0.994687840498167,-2.26438719746182,1.00922874152864,-2.57820913909774,1.32305068316456,0.528151557677108,,"",negative_or_null,1,FALSE,FALSE,two_secondary_outcomes
G3_SECONDARY_ANY_UNION,ANY_UNION,primary,90,1,two_way,year + birth_month,0,TRUE,126138,29266,5183,2192,179,-0.285621498725308,1.00231340843282,-1.93497771688629,1.36373471943567,-2.25120550932072,1.6799625118701,0.775699984547363,,"",null,1,FALSE,FALSE,two_secondary_outcomes
