window,mean_rate15,mean_control_rate,total_age15_registrations
Pre 2013Q1-2018Q4,4.145368990428,310.256622621402,3394
Partial 2019Q1,2.03464551416673,225.271222886687,63
Short 2019Q2-Q4,2.07438835055302,240.659053077312,194
Pandemic 2020-2021,1.31342451344001,196.3509287994,324
Post-pandemic 2022-2024,0.962764844462295,187.690376583783,347
