year,quarter,period,period_index,trend_2018q4,post_full,partial_2019q1,pandemic,rate15,count15,population15,control_count,control_population,control_rate,log_rate_gap,quarter_factor,counterfactual_gap,dynamic_log_effect,bootstrap_se,pointwise_ci_lower,pointwise_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,effect_rate_ratio,simultaneous_rate_ratio_lower,simultaneous_rate_ratio_upper
2013,1,2013Q1,1,-23,0,0,0,4.44663979770673,157,3530755.96725801,30709,10198786.5365552,301.104448945279,-4.21530850171241,1,-4.09882847227513,-0.116480029437276,0.10020992119268,-0.304975166499707,0.0967869327635168,-0.426948173807164,0.193988114932612,0.890047871556039,0.652497367806036,1.21408185342584
2013,2,2013Q2,2,-22,0,0,0,4.58928920689387,161,3508168.5363858,31460,10231613.9793741,307.478371090038,-4.20467959165915,2,-4.03761613394476,-0.167063457714384,0.0988656740674479,-0.348129361831272,0.0446324350800833,-0.473366885601333,0.139239970172564,0.846145915147677,0.622901495659883,1.14939988860138
2013,3,2013Q3,3,-21,0,0,0,5.97604282026291,207,3463830.60205203,32353,10255368.7033207,315.473786812991,-3.96631698076634,3,-4.03199053183172,0.0656735510653821,0.101035714343327,-0.102759262227235,0.272587415834102,-0.247353047238642,0.378700149369406,1.06787805260593,0.780864962642413,1.46038507270001
2013,4,2013Q4,4,-20,0,0,0,6.4931841795204,222,3418969.70519012,43259,10162751.9607672,425.662263203896,-4.18289318346656,4,-4.06840253676735,-0.114490646699204,0.0969874267300496,-0.288987045452142,0.0824750243307363,-0.414974930547625,0.185993637149216,0.891820279842448,0.660356835281708,1.20441459684289
2014,1,2014Q1,5,-19,0,0,0,4.38625560773137,151,3442571.83128685,32162,10163856.7813932,316.434997971226,-4.27864191643918,1,-4.22182986139988,-0.0568120550393001,0.106186270162961,-0.246790987326465,0.174289653391189,-0.385795990588612,0.272171880510012,0.944771617745907,0.679909219412076,1.31281262882426
2014,2,2014Q2,6,-18,0,0,0,5.12707210689035,171,3335236.88442358,31830,10178342.3246115,312.722828382716,-4.11078250904983,2,-4.16061752306951,0.0498350140196768,0.106301019999647,-0.139789089549583,0.28695193392346,-0.279504436916121,0.379174464955475,1.05109766569081,0.756158372796451,1.46107792040289
2014,3,2014Q3,7,-17,0,0,0,5.8434248041608,199,3405537.10656638,32884,10051174.8474076,327.16573434678,-4.02514981134506,3,-4.15499192095647,0.129842109611409,0.102631274825104,-0.0677639137807265,0.339144687175876,-0.188127818615554,0.447812037838371,1.13864858746303,0.828508801616474,1.56488452892952
2014,4,2014Q4,8,-16,0,0,0,7.54727233346478,263,3484702.66315755,44201,9980677.43950279,442.86572998598,-4.07208041387318,4,-4.1914039258921,0.119323512018925,0.102411865684948,-0.0765356815898894,0.336960974636898,-0.197966647700178,0.436613671738027,1.12673437144398,0.820397214815423,1.5474581347511
2015,1,2015Q1,9,-15,0,0,0,5.15080612760796,182,3533427.49641639,31808,10041046.5009239,316.779730051775,-4.11905344241204,1,-4.34483125052463,0.225777808112583,0.104815931891804,0.0356425489748575,0.456438209826231,-0.0989605759470011,0.550516192172167,1.25329716187684,0.90577841677596,1.73414794046375
2015,2,2015Q2,10,-14,0,0,0,4.6216511253647,163,3526878.06973179,31021,10068772.430524,308.09118205868,-4.19964375711687,2,-4.28361891219426,0.0839751550773853,0.110035463870947,-0.118212741008729,0.320801481092542,-0.256934266627541,0.424884576782312,1.0876018720888,0.773419051537143,1.529413879604
