year,quarter,period,trend_2018q4,focal_rate,control_count,control_population,control_rate,gap,quarter_factor,predicted,focal_age,controls,event_time,dynamic_log_effect,bootstrap_se,simultaneous_ci_lower,simultaneous_ci_upper,simultaneous_critical_value,bootstrap_replications,block_length
2023,3,2023Q3,19,47.5358212487791,14365,5957588.09112983,241.121067456608,-1.62381560356504,3,-1.66001855909037,16,18-19,17,0.036202955525328,0.0612465614468584,-0.139318003569921,0.211723914620577,2.86580919726478,999,4
2023,4,2023Q4,20,51.6453419501896,18523,5979290.59733523,309.785913537219,-1.79148145080723,4,-1.71253176908034,16,18-19,18,-0.0789496817268951,0.060227291880759,-0.251549608725124,0.0936502452713341,2.86580919726478,999,4
2024,1,2024Q1,21,38.9549092759959,12991,5989441.80910417,216.898342350588,-1.71702397050802,1,-1.6866519570006,16,18-19,19,-0.0303720135074212,0.0655856265839073,-0.218327905379956,0.157583878365113,2.86580919726478,999,4
2024,2,2024Q2,22,40.9895507863807,13777,5908177.68316007,233.185268602673,-1.73851610646999,2,-1.70492976545673,16,18-19,20,-0.0335863410132595,0.0650955802056716,-0.22013785346796,0.152965171441441,2.86580919726478,999,4
2024,3,2024Q3,23,40.2592941760268,13892,5839093.7477683,237.913631808181,-1.77656682783382,3,-1.71809685199485,16,18-19,21,-0.0584699758389613,0.0665401282956524,-0.24916128749582,0.132221335817897,2.86580919726478,999,4
2024,4,2024Q4,24,46.9239414861456,17737,5767061.05361945,307.557000612437,-1.88013241326274,4,-1.77061006198482,16,18-19,22,-0.109522351277922,0.064850881275498,-0.29537260328797,0.0763279007321261,2.86580919726478,999,4
2013,1,2013Q1,-23,172.456668834144,24642,6680801.3864218,368.847965606086,-0.760238532058144,1,-0.744195149869004,17,18-19,-24,-0.0160433821891404,0.0222641109770812,-0.0769580947422111,0.0448713303639304,2.7360047125069,999,4
2013,2,2013Q2,-22,169.571522301393,25532,6735743.96562042,379.052412477621,-0.804399688718308,2,-0.792395493986626,17,18-19,-23,-0.0120041947316819,0.0216233084628463,-0.0711656685860198,0.047157279122656,2.7360047125069,999,4
2013,3,2013Q3,-21,176.809052360311,26188,6768556.28184087,386.906733275734,-0.783113314671487,3,-0.80320259267759,17,18-19,-22,0.0200892780061027,0.021949728214705,-0.039965281827576,0.0801438378397814,2.7360047125069,999,4
2013,4,2013Q4,-20,244.167515310706,35013,6785562.33359388,515.992607225168,-0.748237910403603,4,-0.77582670889551,17,18-19,-21,0.0275887984919074,0.0224541311236794,-0.0338458100777272,0.0890234070615421,2.7360047125069,999,4
2014,1,2014Q1,-19,175.889759842617,26148,6744669.66931733,387.683923483336,-0.790332943174844,1,-0.79153031330195,17,18-19,-20,0.00119737012710597,0.0239774655199627,-0.0644050885294838,0.0667998287836957,2.7360047125069,999,4
2014,2,2014Q2,-18,171.467255054347,25974,6763112.98642444,384.053912039285,-0.806390622920453,2,-0.839730657419573,17,18-19,-19,0.03334003449912,0.022981189858824,-0.0295366092536383,0.0962166782518784,2.7360047125069,999,4
2014,3,2014Q3,-17,177.088916760928,26893,6668128.57349093,403.306560508039,-0.823045007796288,3,-0.850537756110536,17,18-19,-18,0.0274927483142485,0.0229719128949389,-0.0353585136216023,0.0903440102500994,2.7360047125069,999,4
2014,4,2014Q4,-16,241.120200039274,36100,6620942.33697695,545.239607334851,-0.815929780029778,4,-0.823161872328456,17,18-19,-17,0.00723209229867816,0.023777805519172,-0.0578240956548489,0.0722882802522052,2.7360047125069,999,4
2015,1,2015Q1,-15,172.18160344347,26003,6669606.18215266,389.87309430026,-0.817271533153314,1,-0.838865476734896,17,18-19,-16,0.0215939435815822,0.0236787409304861,-0.0431912031904578,0.0863790903536222,2.7360047125069,999,4
2015,2,2015Q2,-14,157.851433487133,25632,6654802.80037856,385.165432678815,-0.892018640977209,2,-0.887065820852519,17,18-19,-15,-0.00495282012469056,0.0239575471233424,-0.0705007819542615,0.0605951417048804,2.7360047125069,999,4
2015,3,2015Q3,-13,159.996084860581,26839,6605575.02500454,406.308306217165,-0.931962901028533,3,-0.897872919543482,17,18-19,-14,-0.0340899814850507,0.0243632254450789,-0.100747881114654,0.0325679181445531,2.7360047125069,999,4
2015,4,2015Q4,-12,208.008212732285,34623,6667459.34995215,519.283255926389,-0.91487194357244,4,-0.870497035761403,17,18-19,-13,-0.0443749078110377,0.0234230371243647,-0.108460447764524,0.0197106321424483,2.7360047125069,999,4
2016,1,2016Q1,-11,148.986558498185,23717,6634604.89917411,357.474188145738,-0.875207068081916,1,-0.886200640167843,17,18-19,-12,0.0109935720859269,0.0241345635649155,-0.0550387075619792,0.077025851733833,2.7360047125069,999,4
2016,2,2016Q2,-10,135.800053565475,24052,6608419.97512568,363.959919171792,-0.985860139840176,2,-0.934400984285465,17,18-19,-11,-0.0514591555547106,0.0240220736643801,-0.117183662304643,0.0142653511952214,2.7360047125069,999,4
2016,3,2016Q3,-9,139.855866729495,24797,6623395.12727279,374.385032502361,-0.984672397588259,3,-0.945208082976429,17,18-19,-10,-0.0394643146118303,0.024196921866807,-0.105667206867576,0.026738577643915,2.7360047125069,999,4
2016,4,2016Q4,-8,177.714091780364,29693,6591176.59072428,450.496198839321,-0.930173606389061,4,-0.917832199194349,17,18-19,-9,-0.0123414071947118,0.0237864579390961,-0.0774212682099259,0.0527384538205023,2.7360047125069,999,4
2017,1,2017Q1,-7,128.357323120866,21569,6612528.45104846,326.18385175462,-0.932643223277995,1,-0.933535803600789,17,18-19,-8,0.000892580322794045,0.0237338577343049,-0.0640433662842326,0.0658285269298207,2.7360047125069,999,4
2017,2,2017Q2,-6,118.951297227191,20671,6685248.36861433,309.203171822987,-0.955284432479839,2,-0.981736147718411,17,18-19,-7,0.0264517152385719,0.0235123233541213,-0.03787811226029,0.0907815427374339,2.7360047125069,999,4
2017,3,2017Q3,-5,124.336878724172,22698,6710668.85477126,338.237521344267,-1.00075372878045,3,-0.992543246409375,17,18-19,-6,-0.00821048237107136,0.0233556166280841,-0.072111559529014,0.0556905947868713,2.7360047125069,999,4
2017,4,2017Q4,-4,151.230609959295,27487,6757065.613347,406.789005359159,-0.98948874659188,4,-0.965167362627295,17,18-19,-5,-0.0243213839645845,0.0232793179733375,-0.0880137076435826,0.0393709397144136,2.7360047125069,999,4
2018,1,2018Q1,-3,107.096036446164,19678,6762823.13687969,290.973157240946,-0.999505050962002,1,-0.980870967033735,17,18-19,-4,-0.0186340839282667,0.0233242849434135,-0.0824494374492999,0.0451812695927664,2.7360047125069,999,4
2018,2,2018Q2,-2,107.692607521944,20192,6758012.51114129,298.786070116197,-1.02044689047796,2,-1.02907131115136,17,18-19,-3,0.00862442067339253,0.0211855852865935,-0.0493394405079442,0.0665882818547293,2.7360047125069,999,4
