sex,bandwidth_days,allocation_multiplier,variance_inflation_factor,pre_age15,pre_age16,post_age15,post_age16,bandwidth_share,expected_pre_age15,expected_pre_age16,expected_post_age15,expected_post_age16,minimum_expected_cell,poisson_log_se,mde_log_irr,mde_decline_percent,mde_increase_percent,alpha_two_sided,target_power,planning_only,timing_semantics
combined,30,0.5,1,3394,94107,928,39543,0.0410686051048276,139.386845725785,3864.84322060001,38.11166553728,1623.9758516602,38.11166553728,0.185168784879148,0.51876613057336,40.4745438556889,67.9953527068554,0.05,0.8,TRUE,completed age/year at registration; not exact age/date at celebration
combined,30,0.5,1.5,3394,94107,928,39543,0.0410686051048276,139.386845725785,3864.84322060001,38.11166553728,1623.9758516602,38.11166553728,0.226784519622549,0.635356157871383,47.0253218771169,88.7694338944999,0.05,0.8,TRUE,completed age/year at registration; not exact age/date at celebration
combined,30,0.5,2,3394,94107,928,39543,0.0410686051048276,139.386845725785,3864.84322060001,38.11166553728,1623.9758516602,38.11166553728,0.261868206904237,0.733646097556658,51.9844897735021,108.266036387579,0.05,0.8,TRUE,completed age/year at registration; not exact age/date at celebration
combined,30,1,1,3394,94107,928,39543,0.0821372102096552,278.77369145157,7729.68644120002,76.2233310745601,3247.9517033204,76.2233310745601,0.130934103452118,0.366823048778329,30.7067750595357,44.3142530686347,0.05,0.8,TRUE,completed age/year at registration; not exact age/date at celebration
combined,30,1,1.5,3394,94107,928,39543,0.0821372102096552,278.77369145157,7729.68644120002,76.2233310745601,3247.9517033204,76.2233310745601,0.160360871693238,0.449264647699485,36.1902794611312,56.7159347439649,0.05,0.8,TRUE,completed age/year at registration; not exact age/date at celebration
combined,30,1,2,3394,94107,928,39543,0.0821372102096552,278.77369145157,7729.68644120002,76.2233310745601,3247.9517033204,76.2233310745601,0.185168784879148,0.51876613057336,40.4745438556889,67.9953527068554,0.05,0.8,TRUE,completed age/year at registration; not exact age/date at celebration
combined,30,1.5,1,3394,94107,928,39543,0.123205815314483,418.160537177355,11594.5296618,114.33499661184,4871.9275549806,114.33499661184,0.106907247795492,0.29950976513299,25.8818515361334,34.9197221902421,0.05,0.8,TRUE,completed age/year at registration; not exact age/date at celebration
combined,30,1.5,1.5,3394,94107,928,39543,0.123205815314483,418.160537177355,11594.5296618,114.33499661184,4871.9275549806,114.33499661184,0.130934103452118,0.366823048778329,30.7067750595357,44.3142530686347,0.05,0.8,TRUE,completed age/year at registration; not exact age/date at celebration
combined,30,1.5,2,3394,94107,928,39543,0.123205815314483,418.160537177355,11594.5296618,114.33499661184,4871.9275549806,114.33499661184,0.151189679748366,0.423570771914255,34.5295160687953,52.740584757367,0.05,0.8,TRUE,completed age/year at registration; not exact age/date at celebration
combined,90,0.5,1,3394,94107,928,39543,0.123205815314483,418.160537177355,11594.5296618,114.33499661184,4871.9275549806,114.33499661184,0.106907247795492,0.29950976513299,25.8818515361334,34.9197221902421,0.05,0.8,TRUE,completed age/year at registration; not exact age/date at celebration
combined,90,0.5,1.5,3394,94107,928,39543,0.123205815314483,418.160537177355,11594.5296618,114.33499661184,4871.9275549806,114.33499661184,0.130934103452118,0.366823048778329,30.7067750595357,44.3142530686347,0.05,0.8,TRUE,completed age/year at registration; not exact age/date at celebration
combined,90,0.5,2,3394,94107,928,39543,0.123205815314483,418.160537177355,11594.5296618,114.33499661184,4871.9275549806,114.33499661184,0.151189679748366,0.423570771914255,34.5295160687953,52.740584757367,0.05,0.8,TRUE,completed age/year at registration; not exact age/date at celebration
combined,90,1,1,3394,94107,928,39543,0.246411630628966,836.32107435471,23189.0593236001,228.66999322368,9743.85510996119,228.66999322368,0.0755948398741829,0.211785385957128,19.0861668617753,23.5882618849246,0.05,0.8,TRUE,completed age/year at registration; not exact age/date at celebration
