age,controls,beta_log_rate_ratio,period_cluster_se,rate_ratio,percent_change,fitted_events_with_treatment,fitted_events_without_treatment,estimated_event_effect,event_effect_ci_lower,event_effect_ci_upper,temporal_block_replications
15,17-18-19,-0.0107762712655847,0.0765401853316733,0.989281584735128,-1.07184152648725,194.00000125511,196.101902884457,-2.10190162934731,-48.3184496681371,31.8337045457243,999
16,18-19,0.00606685199359811,0.0209256615375934,1.00608529261346,0.608529261346313,6707.00000003875,6666.43280572791,40.5671943108446,-457.687871688606,518.074828104467,999
17,18-19,0.0326698580154466,0.0200822140035574,1.03320937713421,3.32093771342104,10169.0000000092,9842.14838256186,326.851617447355,-135.266780394677,781.017502820716,999
