specification,coef_log,se_log,p_value,rate_ratio,pct_change,ci_lower_pct,ci_upper_pct,n_cells,n_treated_post_events,p_holm,mde80_pct,tost_p
S1_married,0.25665260686931,0.0762617334632313,0.000764277934973329,1.29259600977924,29.259600977924,11.3137221781088,50.0986950938377,1420,270,0.00152855586994666,23.8044171928099,0.892437612344364
S2_uniao_estavel,0.0366811568890356,0.0142001318522963,0.00979010224249684,1.03736221230798,3.736221230798,0.888868144753197,6.66393421923537,1420,7848,0.00979010224249684,4.05613937406093,5.06987244958606e-19
S3_any_union,0.049350641058342,0.013957984812088,0.000406763082459735,1.0505886656847,5.05886656847012,2.22371330728617,7.97265221106875,1420,8118,0.00122028924737921,3.98561200469214,3.2618399563384e-16
