age,quarter,mean_prevalence,sd_prevalence,mean_design_se,quarters_observed
14,1,0.0031695086898912,0.00077422888253787,0.000696254559720847,6
15,1,0.00897927427896758,0.00232536701504852,0.00118091110875022,6
16,1,0.0203145588617348,0.00153448082223908,0.00207070889994614,6
17,1,0.0385278488995215,0.00269816330193175,0.00259670633825866,6
18,1,0.0680531223399956,0.00333526601123489,0.00343305935999849,6
19,1,0.107634497728127,0.00890023156428605,0.00459213456274731,6
14,2,0.00330449759367008,0.00129073639902855,0.000795123827563496,6
15,2,0.00841534881493144,0.00204848562451999,0.00110556916949423,6
16,2,0.0220127220033486,0.00234152623125414,0.00226305478818146,6
17,2,0.0377842657340976,0.00354743544825471,0.00251304599673553,6
18,2,0.0673576361740379,0.0047953997518145,0.00345795112034788,6
19,2,0.1091299962805,0.00988588486160322,0.00477091618209348,6
14,3,0.00309979433287778,0.000812884674243982,0.000699123604866442,6
15,3,0.00781953984006388,0.0018558713643164,0.00103318258661624,6
16,3,0.0195233457598941,0.00253949880751275,0.00211426687126645,6
17,3,0.037085539594798,0.00448674532193737,0.00257668624484018,6
18,3,0.0671093394773113,0.00616042092334018,0.00342805607970664,6
19,3,0.106604468139182,0.00984660328145095,0.00457716691126973,6
14,4,0.00312086282677338,0.001220945566678,0.000680066863877442,6
15,4,0.00773577944750356,0.00159188863580599,0.00108417635498557,6
16,4,0.0194769247916301,0.00196969274121968,0.00180247214138744,6
17,4,0.036823111744201,0.00337753763163632,0.00254476022802343,6
18,4,0.0655739419290487,0.00688666412654031,0.00337193615611054,6
19,4,0.105811452197676,0.00849783120084413,0.00462381016752585,6
