year,uf,sex,age_group,persons_married
2003,PI,female,19,677
2003,PI,female,20-24,2772
2003,PI,female,25-29,1582
2003,PI,female,30-34,784
2003,PI,female,35-39,423
2003,PI,female,40-44,221
2003,PI,female,45-49,123
2003,PI,female,50-54,85
2003,PI,female,55-59,62
2003,PI,female,60-64,30
2003,PI,female,65+,29
2003,PI,female,<15,77
2003,PI,female,unknown,0
2003,PI,male,15,7
2003,PI,male,16,27
2003,PI,male,17,93
2003,PI,male,18,250
2003,PI,male,19,408
2003,PI,male,20-24,3209
2003,PI,male,25-29,2259
2003,PI,male,30-34,1140
2003,PI,male,35-39,594
2003,PI,male,40-44,324
2003,PI,male,45-49,196
2003,PI,male,50-54,127
2003,PI,male,55-59,100
2003,PI,male,60-64,73
2003,PI,male,65+,144
2003,PI,male,<15,3
2003,PI,male,unknown,0
2003,PR,female,15,114
2003,PR,female,16,1932
2003,PR,female,17,2423
2003,PR,female,18,3135
2003,PR,female,19,3467
2003,PR,female,20-24,17367
2003,PR,female,25-29,10738
2003,PR,female,30-34,4931
2003,PR,female,35-39,2501
2003,PR,female,40-44,1370
2003,PR,female,45-49,855
2003,PR,female,50-54,565
2003,PR,female,55-59,319
2003,PR,female,60-64,140
2003,PR,female,65+,164
2003,PR,female,<15,43
2003,PR,female,unknown,1
2003,PR,male,15,1
2003,PR,male,16,42
2003,PR,male,17,189
2003,PR,male,18,805
2003,PR,male,19,1569
2003,PR,male,20-24,16456
2003,PR,male,25-29,14635
2003,PR,male,30-34,7374
2003,PR,male,35-39,3646
2003,PR,male,40-44,1749
2003,PR,male,45-49,1094
2003,PR,male,50-54,746
2003,PR,male,55-59,512
2003,PR,male,60-64,434
2003,PR,male,65+,810
2003,PR,male,<15,2
2003,PR,male,unknown,1
2003,RJ,female,15,63
2003,RJ,female,16,867
2003,RJ,female,17,1320
2003,RJ,female,18,2079
2003,RJ,female,19,2852
2003,RJ,female,20-24,20035
2003,RJ,female,25-29,15004
2003,RJ,female,30-34,7534
2003,RJ,female,35-39,4113
2003,RJ,female,40-44,2558
2003,RJ,female,45-49,1631
2003,RJ,female,50-54,1106
2003,RJ,female,55-59,674
2003,RJ,female,60-64,422
2003,RJ,female,65+,457
2003,RJ,female,<15,21
2003,RJ,female,unknown,7
2003,RJ,male,15,3
2003,RJ,male,16,20
2003,RJ,male,17,83
2003,RJ,male,18,361
2003,RJ,male,19,898
2003,RJ,male,20-24,15284
2003,RJ,male,25-29,18318
2003,RJ,male,30-34,10507
2003,RJ,male,35-39,5429
2003,RJ,male,40-44,3141
2003,RJ,male,45-49,1953
2003,RJ,male,50-54,1440
2003,RJ,male,55-59,943
2003,RJ,male,60-64,749
2003,RJ,male,65+,1601
2003,RJ,male,<15,5
2003,RJ,male,unknown,8
2003,RN,female,15,64
2003,RN,female,16,430
2003,RN,female,17,485
2003,RN,female,18,625
2003,RN,female,19,654
2003,RN,female,20-24,3452
