era,identified,n_full,n_left,n_right,bandwidth_left_days,bandwidth_right_days,effective_n_left,effective_n_right,robust_density_left,robust_density_right,robust_density_difference,robust_jackknife_se_difference,robust_test_statistic,robust_p_value,log_right_left_density_ratio,abs_log_ratio_threshold,rejects_equality_at_5pct,exceeds_five_percent_log_threshold,density_hard_failure,conventional_density_left,conventional_density_right,conventional_p_value,mass_points_adjusted,polynomial_p,bias_correction_q,bandwidth_selector,error_message,warnings
pre,TRUE,162902,70652,92250,68.0123116148524,71.1337944514823,29300,34448,0.00286748965220029,0.00285151967657482,-1.59699756254739e-05,8.33551064829383e-05,-0.191589649384501,0.848063650910813,-0.00558488934614742,0.0487901641694321,FALSE,FALSE,FALSE,0.00277959317125062,0.00283530855023584,0.295376426764359,TRUE,2,3,comb,,""
post,TRUE,92686,40462,52224,49.9333093356274,54.1350428182673,12321,14882,0.0029603697605316,0.00285063250216155,-0.000109737258370046,0.000128902725294449,-0.851318372977581,0.394592521472497,-0.03777327939213,0.0487901641694321,FALSE,FALSE,FALSE,0.00278718184204702,0.0028374205092172,0.539007348289689,TRUE,2,3,comb,,""
