year,cod_mun,distinct_place_names,place_names
2003,4303400,2,Caiçara (PB) || Caiçara (RS)
2003,2908606,2,Conde (BA) || Conde (PB)
2003,2802908,2,Itabaiana (PB) || Itabaiana (SE)
2003,3522802,2,Itaporanga (PB) || Itaporanga (SP)
2003,2610707,2,Paulista (PB) || Paulista (PE)
2003,2706901,2,Pilar (AL) || Pilar (PB)
2003,3152808,2,Prata (MG) || Prata (PB)
2003,2925808,2,Queimadas (BA) || Queimadas (PB)
2003,2611533,2,Quixaba (PB) || Quixaba (PE)
2003,4215505,2,Santa Cecília (PB) || Santa Cecília (SC)
2003,3547809,2,Santo André (PB) || Santo André (SP)
2003,5219803,5,São Domingos (BA) || São Domingos (GO) || São Domingos (PB) || São Domingos (SC) || São Domingos (SE)
2003,3551702,2,Sertãozinho (PB) || Sertãozinho (SP)
2003,4320800,2,Soledade (PB) || Soledade (RS)
2003,2931202,2,Taperoá (BA) || Taperoá (PB)
2003,4321352,2,Tavares (PB) || Tavares (RS)
2003,4322004,3,Triunfo (PB) || Triunfo (PE) || Triunfo (RS)
2003,2802205,2,Feira Nova (PE) || Feira Nova (SE)
2003,4107900,2,Floresta (PE) || Floresta (PR)
2003,4110300,2,Inajá (PE) || Inajá (PR)
2003,4111100,3,Itambé (BA) || Itambé (PE) || Itambé (PR)
2003,3137536,2,Lagoa Grande (MG) || Lagoa Grande (PE)
2003,4212700,2,Petrolândia (PE) || Petrolândia (SC)
2003,5107776,4,Santa Terezinha (BA) || Santa Terezinha (MT) || Santa Terezinha (PE) || Santa Terezinha (SC)
2003,4124806,2,São João (PE) || São João (PR)
2003,2931707,2,Terra Nova (BA) || Terra Nova (PE)
2003,5221403,2,Trindade (GO) || Trindade (PE)
2003,4102208,2,Atalaia (AL) || Atalaia (PR)
2003,3111002,2,Campestre (AL) || Campestre (MG)
2003,4203303,2,Campo Alegre (AL) || Campo Alegre (SC)
2003,2801306,2,Capela (AL) || Capela (SE)
2003,4210506,2,Maravilha (AL) || Maravilha (SC)
2003,3535002,2,Palestina (AL) || Palestina (SP)
2003,5217203,2,Piranhas (AL) || Piranhas (GO)
2003,3550704,2,São Sebastião (AL) || São Sebastião (SP)
2003,4119301,2,Pinhão (PR) || Pinhão (SE)
2003,4215604,2,Santa Rosa de Lima (SC) || Santa Rosa de Lima (SE)
2003,3549003,3,São Francisco (MG) || São Francisco (SE) || São Francisco (SP)
2003,5203203,2,Barro Alto (BA) || Barro Alto (GO)
2003,4202156,2,Belmonte (BA) || Belmonte (SC)
2003,3111804,2,Canápolis (BA) || Canápolis (MG)
2003,5102702,2,Canarana (BA) || Canarana (MT)
2003,3112000,2,Candeias (BA) || Candeias (MG)
2003,4205175,2,Entre Rios (BA) || Entre Rios (SC)
2003,3524204,2,Jaborandi (BA) || Jaborandi (SP)
2003,5212204,3,Jussara (BA) || Jussara (GO) || Jussara (PR)
2003,5214051,3,Mundo Novo (BA) || Mundo Novo (GO) || Mundo Novo (MS)
2003,4117008,2,Nova Fátima (BA) || Nova Fátima (PR)
2003,4211652,3,Novo Horizonte (BA) || Novo Horizonte (SC) || Novo Horizonte (SP)
2003,4314704,4,Planalto (BA) || Planalto (PR) || Planalto (RS) || Planalto (SP)
2003,3157203,2,Santa Bárbara (BA) || Santa Bárbara (MG)
2003,4318309,2,São Gabriel (BA) || São Gabriel (RS)
2003,4320701,2,Sobradinho (BA) || Sobradinho (RS)
2003,3554300,2,Teodoro Sampaio (BA) || Teodoro Sampaio (SP)
2003,3306107,2,Valença (BA) || Valença (RJ)
2003,5100201,2,Água Boa (MG) || Água Boa (MT)
2003,4201208,2,Antônio Carlos (MG) || Antônio Carlos (SC)
2003,4103008,3,Boa Esperança (ES) || Boa Esperança (MG) || Boa Esperança (PR)
2003,4103206,2,Bom Sucesso (MG) || Bom Sucesso (PR)
2003,5204250,2,Cachoeira Dourada (GO) || Cachoeira Dourada (MG)
2003,4104451,3,Cantagalo (MG) || Cantagalo (PR) || Cantagalo (RJ)
2003,5208103,2,Formoso (GO) || Formoso (MG)
2003,4206405,2,Guaraciaba (MG) || Guaraciaba (SC)
2003,4110409,2,Indianópolis (MG) || Indianópolis (PR)
2003,3522406,2,Itapeva (MG) || Itapeva (SP)
2003,4310900,2,Jacutinga (MG) || Jacutinga (RS)
2003,5212253,2,Lagoa Santa (GO) || Lagoa Santa (MG)
2003,4113254,2,Laranjal (MG) || Laranjal (PR)
2003,3302858,2,Mesquita (MG) || Mesquita (RJ)
2003,3541208,2,Presidente Bernardes (MG) || Presidente Bernardes (SP)
2003,4318200,2,São Francisco de Paula (MG) || São Francisco de Paula (RS)
2003,4126900,2,Tapira (MG) || Tapira (PR)
2003,3553500,2,Tapiraí (MG) || Tapiraí (SP)
2003,4127700,2,Toledo (MG) || Toledo (PR)
2003,3555307,2,Turmalina (MG) || Turmalina (SP)
2003,4219176,2,Vargem Bonita (MG) || Vargem Bonita (SC)
2003,4128500,2,Wenceslau Braz (MG) || Wenceslau Braz (PR)
2003,4200804,2,Anchieta (ES) || Anchieta (SC)
2003,3543907,2,Rio Claro (RJ) || Rio Claro (SP)
2003,4202099,2,Barra Bonita (SC) || Barra Bonita (SP)
2003,4103453,2,Cafelândia (PR) || Cafelândia (SP)
2003,5003751,2,Eldorado (MS) || Eldorado (SP)
2003,5207501,2,Estrela do Norte (GO) || Estrela do Norte (SP)
2003,4108809,2,Guaíra (PR) || Guaíra (SP)
2003,4109203,2,Guaraci (PR) || Guaraci (SP)
2003,4208955,2,Jardinópolis (SC) || Jardinópolis (SP)
2003,4211108,2,Monte Castelo (SC) || Monte Castelo (SP)
2003,4211850,2,Ouro Verde (SC) || Ouro Verde (SP)
2003,4117800,2,Palmital (PR) || Palmital (SP)
2003,4212239,2,Paraíso (SC) || Paraíso (SP)
2003,4212908,2,Pinhalzinho (SC) || Pinhalzinho (SP)
2003,4119657,2,Pitangueiras (PR) || Pitangueiras (SP)
2003,4213807,2,Praia Grande (SC) || Praia Grande (SP)
2003,4215356,2,Saltinho (SC) || Saltinho (SP)
2003,5219357,2,Santa Isabel (GO) || Santa Isabel (SP)
2003,4123824,2,Santa Lúcia (PR) || Santa Lúcia (SP)
2003,4216008,2,São Carlos (SC) || São Carlos (SP)
2003,5220405,2,São Simão (GO) || São Simão (SP)
2003,4127403,2,Terra Roxa (PR) || Terra Roxa (SP)
2003,4219150,2,Vargem (SC) || Vargem (SP)
2003,5001508,2,Bandeirantes (MS) || Bandeirantes (PR)
2003,4301800,2,Barracão (PR) || Barracão (RS)
2003,4204004,2,Catanduvas (PR) || Catanduvas (SC)
2003,4305603,2,Colorado (PR) || Colorado (RS)
2003,5003504,2,Douradina (MS) || Douradina (PR)
2003,5103908,2,General Carneiro (MT) || General Carneiro (PR)
2003,4207858,2,Irati (PR) || Irati (SC)
2003,5214804,2,Nova Aurora (GO) || Nova Aurora (PR)
2003,5106232,2,Nova Olímpia (MT) || Nova Olímpia (PR)
2003,4212056,2,Palmeira (PR) || Palmeira (SC)
2003,5007307,2,Rio Negro (MS) || Rio Negro (PR)
2003,4320107,2,Sarandi (PR) || Sarandi (RS)
2003,4320909,2,Tapejara (PR) || Tapejara (RS)
2003,4218806,2,Turvo (PR) || Turvo (SC)
2003,5215009,2,Nova Veneza (GO) || Nova Veneza (SC)
2003,4319109,2,São Martinho (RS) || São Martinho (SC)
2004,2109239,2,Presidente Médici (MA) || Presidente Médici (RO)
2004,4128625,2,Alto Paraíso (PR) || Alto Paraíso (RO)
2004,3109303,2,Buritis (MG) || Buritis (RO)
2004,3136603,2,Nova União (MG) || Nova União (RO)
2004,4306205,3,Cruzeiro do Sul (AC) || Cruzeiro do Sul (PR) || Cruzeiro do Sul (RS)
2004,5107206,2,Rio Branco (AC) || Rio Branco (MT)
2004,4309704,2,Humaitá (AM) || Humaitá (RS)
2004,4208401,2,Itapiranga (AM) || Itapiranga (SC)
2004,4112405,2,Japurá (AM) || Japurá (PR)
2004,3552700,2,Tabatinga (AM) || Tabatinga (SP)
2004,4300554,3,Alto Alegre (RR) || Alto Alegre (RS) || Alto Alegre (SP)
2004,3108107,2,Bonfim (MG) || Bonfim (RR)
2004,2700805,3,Belém (AL) || Belém (PA) || Belém (PB)
2004,1703305,2,Bom Jesus do Tocantins (PA) || Bom Jesus do Tocantins (TO)
2004,5002209,4,Bonito (BA) || Bonito (MS) || Bonito (PA) || Bonito (PE)
2004,4104501,2,Capanema (PA) || Capanema (PR)
2004,2407807,2,Monte Alegre (PA) || Monte Alegre (RN)
2004,1716307,2,Pau D'Arco (PA) || Pau D'Arco (TO)
2004,2611408,2,Primavera (PA) || Primavera (PE)
2004,2311603,2,Redenção (CE) || Redenção (PA)
2004,3305406,2,Sapucaia (PA) || Sapucaia (RJ)
2004,2928208,2,Santana (AP) || Santana (BA)
2004,4300604,2,Alvorada (RS) || Alvorada (TO)
2004,2100873,2,Araguanã (MA) || Araguanã (TO)
2004,4303103,3,Cachoeirinha (PE) || Cachoeirinha (RS) || Cachoeirinha (TO)
2004,2203701,2,Esperantina (PI) || Esperantina (TO)
2004,2910750,2,Fátima (BA) || Fátima (TO)
2004,2910859,2,Filadélfia (BA) || Filadélfia (TO)
2004,4311403,2,Lajeado (RS) || Lajeado (TO)
2004,3303104,2,Natividade (RJ) || Natividade (TO)
2004,2922508,2,Nazaré (BA) || Nazaré (TO)
2004,2510204,3,Nova Olinda (CE) || Nova Olinda (PB) || Nova Olinda (TO)
2004,3204302,2,Presidente Kennedy (ES) || Presidente Kennedy (TO)
2004,3154457,2,Riachinho (MG) || Riachinho (TO)
2004,4117602,2,Palmas (PR) || Palmas (TO)
2004,3300506,3,Bom Jardim (MA) || Bom Jardim (PE) || Bom Jardim (RJ)
2004,3511300,2,Cedral (MA) || Cedral (SP)
2004,4305587,2,Colinas (MA) || Colinas (RS)
2004,5206909,2,Davinópolis (GO) || Davinópolis (MA)
2004,4115903,2,Mirador (MA) || Mirador (PR)
2004,2925600,2,Presidente Dutra (BA) || Presidente Dutra (MA)
2004,3153202,2,Presidente Juscelino (MA) || Presidente Juscelino (MG)
2004,4215554,4,Santa Helena (MA) || Santa Helena (PB) || Santa Helena (PR) || Santa Helena (SC)
