year,quarter,relative_path,official_url,compressed_bytes,member_name,uncompressed_bytes,expansion_ratio,sha256,zip_valid,checked_at
2019,1,Darcio/data/raw_external/pnadc_quarterly/PNADC_012019_20250815.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2019/PNADC_012019_20250815.zip,229480863,PNADC_012019.txt,1925511840,8.39072947010836,b77d8099efde7f2fecaf4a360dfc86aa13e518575f38d63954286d13f8c4d4dc,TRUE,2026-09-02T02:44:46-0300
2019,2,Darcio/data/raw_external/pnadc_quarterly/PNADC_022019_20260324.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2019/PNADC_022019_20260324.zip,228615554,PNADC_022019.txt,1918691040,8.39265310880816,e4c29c429eecca94906ce59aeebba68583387f8129de198de90d6759541b4b22,TRUE,2026-09-02T02:44:47-0300
2019,3,Darcio/data/raw_external/pnadc_quarterly/PNADC_032019_20250815.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2019/PNADC_032019_20250815.zip,228469543,PNADC_032019.txt,1914789960,8.38094187460252,724181a5bb17f252ccb31cb68ba8b7a589a0865c976a3dba88a41950f741d986,TRUE,2026-09-02T02:44:49-0300
2019,4,Darcio/data/raw_external/pnadc_quarterly/PNADC_042019_20250815.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2019/PNADC_042019_20250815.zip,225919942,PNADC_042019.txt,1888950960,8.3611519340776,d36039e9b46f82ab86c8070c9ae09de0e20b2af479eb1713a504e4325e5ee547,TRUE,2026-09-02T02:44:50-0300
2020,1,Darcio/data/raw_external/pnadc_quarterly/PNADC_012020_20250815.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2020/PNADC_012020_20250815.zip,204374278,PNADC_012020.txt,1698020760,8.30838780993761,cd9d5eae64fb525cd4b168dd9a617d412e1bc9bf51665656b2368ac261e62409,TRUE,2026-09-02T02:44:51-0300
2020,2,Darcio/data/raw_external/pnadc_quarterly/PNADC_022020_20260324.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2020/PNADC_022020_20260324.zip,156426671,PNADC_022020.txt,1284662880,8.21255654031019,ed9641bb6106212e62e1b014c82985c35ca8b92809db2ac179355b41226d9b19,TRUE,2026-09-02T02:44:52-0300
2020,3,Darcio/data/raw_external/pnadc_quarterly/PNADC_032020_20250815.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2020/PNADC_032020_20250815.zip,155649822,PNADC_032020.txt,1281370800,8.23239489474007,a29076899ec7068ac37dcb646d2e3cd5a531f2d28993485328d4786dbcaf05f5,TRUE,2026-09-02T02:44:53-0300
2020,4,Darcio/data/raw_external/pnadc_quarterly/PNADC_042020_20250815.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2020/PNADC_042020_20250815.zip,142699842,PNADC_042020.txt,1167769680,8.18339854924296,3d8a4fdecf2060225a7fe39850859f98f2bd50dd9296469b654600dfd58adeb4,TRUE,2026-09-02T02:44:54-0300
2021,1,Darcio/data/raw_external/pnadc_quarterly/PNADC_012021_20250815.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2021/PNADC_012021_20250815.zip,136262483,PNADC_012021.txt,1113245040,8.1698572893318,6a3c8887928964d51e93df0b6c2a89a06fb153626bf54414ff6b9352a49ae9fe,TRUE,2026-09-02T02:44:55-0300
2021,2,Darcio/data/raw_external/pnadc_quarterly/PNADC_022021_20250815.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/2021/PNADC_022021_20250815.zip,151666427,PNADC_022021.txt,1239711720,8.17393634518732,084339a3c0d59eae100a112276061d90a50cf144b61fc5d327e26e96b1dadfce,TRUE,2026-09-02T02:44:56-0300
