path,sheet,row_number,row_text
notes/data_structure.xlsx,Plan1,47,"PNAD Contínua Trimestral | 2012-2026 | VD4046 | Rendimento recebido em todas as fontes
(habitual de todos os trabalhos e efetivo de outras fontes)  (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias em qualquer trabalho ou que receberam rendimentos em dinheiro de outras fontes)"
notes/data_structure.xlsx,Plan1,48,"PNAD Contínua Trimestral | 2012-2026 | VD4047 | Rendimento efetivo recebido de programas sociais, seguro-desemprego, seguro-defeso, bolsa de estudos, rendimento de caderneta de poupança e outras aplicações financeiras"
notes/data_structure.xlsx,Plan1,49,PNAD Contínua Trimestral | 2012-2026 | VD4048 | Rendimento efetivo recebido de outras fontes
notes/data_structure.xlsx,Plan1,50,"PNS | 2013, 2019 | V0001 | Unidade da Federação"
notes/data_structure.xlsx,Plan1,51,"PNS | 2013, 2019 | V0024 | Estrato"
notes/data_structure.xlsx,Plan1,52,"PNS | 2013, 2019 | UPA_PNS | UPA"
notes/data_structure.xlsx,Plan1,53,PNS | 2019 | V0006_PNS | Número de ordem do domicílio na PNS
notes/data_structure.xlsx,Plan1,54,"PNS | 2013, 2019 | V0020 | Ano de referência"
notes/data_structure.xlsx,Plan1,58,PNS | 2019 | V0025A | Seleção do morador de 15 anos ou mais para responder o questionário individual
notes/data_structure.xlsx,Plan1,59,PNS | 2019 | V0025B | Seleção do morador de 15 anos ou mais para ter medida antropométrica aferida
notes/data_structure.xlsx,Plan1,60,PNS | 2013 | V0025 | Seleção do morador de 18 anos ou mais para responder o questionário individual
notes/data_structure.xlsx,Plan1,61,"PNS | 2013, 2019 | C001 | Número de pessoas no domicílio"
notes/data_structure.xlsx,Plan1,63,"PNS | 2013, 2019 | C004 | Condição no domicílio"
notes/data_structure.xlsx,Plan1,64,"PNS | 2013, 2019 | C006 | Sexo"
notes/data_structure.xlsx,Plan1,65,"PNS | 2013, 2019 | C00701 | Dia de nascimento"
notes/data_structure.xlsx,Plan1,66,"PNS | 2013, 2019 | C00702 | Mês de nascimento"
notes/data_structure.xlsx,Plan1,67,"PNS | 2013, 2019 | C00703 | Ano de nascimento"
notes/data_structure.xlsx,Plan1,68,"PNS | 2013, 2019 | C008 | Idade do morador na data de referência"
notes/data_structure.xlsx,Plan1,69,"PNS | 2013, 2019 | C009 | Cor ou raça"
notes/data_structure.xlsx,Plan1,70,PNS | 2013 | C010 | vive com cônjuge ou companheiro(a)?
notes/data_structure.xlsx,Plan1,71,PNS | 2019 | C01001 | Cônjuge ou companheiro(a) mora em nesse domicílio.
notes/data_structure.xlsx,Plan1,72,PNS | 2019 | C010010 | Número de ordem do cônjuge ou companheiro(a)
notes/data_structure.xlsx,Plan1,73,PNS | 2019 | C013 | Cônjuge ou companheiro(a) mora em outro domicílio.
notes/data_structure.xlsx,Plan1,77,PNS | 2019 | C017 | ___já viveu com cônjuge ou companheiro (a) antes?
notes/data_structure.xlsx,Plan1,78,PNS | 2019 | C018 | Que idade ___tinha quando começou a viver com seu(sua) primeiro(a)/único(a) marido (mulher) ou companheiro(a)?
notes/data_structure.xlsx,Plan1,79,PNS | 2019 | C01801 | Que idade ___tinha quando começou a viver com seu(sua) primeiro(a)/único(a) marido (mulher) ou companheiro(a)?
notes/data_structure.xlsx,Plan1,85,"PNS | 2013, 2019 | E001 | Na semana de___ a___ (semana de referência), ___ trabalhou ou estagiou, durante pelo menos uma hora, em alguma atividade remunerada em dinheiro"
notes/data_structure.xlsx,Plan1,86,"PNS | 2013, 2019 | E003 | Na semana de ___ a ___ (semana de referência), ___ fez algum bico ou trabalhou em alguma atividade ocasional remunerada durante pelo menos 1 hora"
notes/data_structure.xlsx,Plan1,87,"PNS | 2013, 2019 | E005 | Na semana de ___ a ___ (semana de referência), ___ tinha algum trabalho remunerado do qual estava temporariamente afastado"
notes/data_structure.xlsx,Plan1,88,"PNS | 2019 | E006011 | Na semana de ___ a ___ (semana de referência), por que motivo ___ estava afastado desse trabalho"
notes/data_structure.xlsx,Plan1,89,PNS | 2019 | E01602 | Qual era o rendimento bruto mensal ou retirada que ___ fazia normalmente nesse trabalho?(valor em dinheiro)
notes/data_structure.xlsx,Plan1,90,"PNS | 2019 | F001011 | Em (mês da pesquisa) ___ recebia normalmente rendimento de aposentadoria ou pensão de instituto de previdência federal (INSS), estadual, municipal, ou do governo federal, estadual, municipal?"
