year,query_type,relative_path,official_url,size_bytes,rows,zero_symbols,missing_symbols,sha256,status,acquired_this_run,acquired_or_checked_at
2019,first_age_monthly,Darcio/data/raw_external/sidra_4406_first_age_monthly_2019.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2019/c666/32970,32971,32972,32973,32974/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1634129,4860,3713,0,d61a0cb8ada16549ae597ad85222185d96e34762b3cfd2baa6c63d0c16871e0b,used,FALSE,2026-09-02T02:44:08-0300
2020,first_age_monthly,Darcio/data/raw_external/sidra_4406_first_age_monthly_2020.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2020/c666/32970,32971,32972,32973,32974/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1634048,4860,3777,0,4190be3f301f4560ada3d7cabd90f4df62b6868655eeb1aa5cb46ccad8f1139c,used,FALSE,2026-09-02T02:44:08-0300
2021,first_age_monthly,Darcio/data/raw_external/sidra_4406_first_age_monthly_2021.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2021/c666/32970,32971,32972,32973,32974/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1634092,4860,1602,0,cf3e3ef5c5a979a5dd2199c26afc2ec4aee5c7fe5a508a2f6a7b42c55f11e2e6,used,FALSE,2026-09-02T02:44:08-0300
2022,first_age_monthly,Darcio/data/raw_external/sidra_4406_first_age_monthly_2022.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2022/c666/32970,32971,32972,32973,32974/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1634084,4860,3742,0,b039f9b4f32d7134de727e2597d17f4e8685d5abcca6f39ab21571bd95ee5a61,used,FALSE,2026-09-02T02:44:08-0300
2023,first_age_monthly,Darcio/data/raw_external/sidra_4406_first_age_monthly_2023.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2023/c666/32970,32971,32972,32973,32974/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1634083,4860,3769,0,45a26e6a1c85465ad9160cc08ddbab3aee960648f2bd234259451b342413eb61,used,FALSE,2026-09-02T02:44:08-0300
2024,first_age_monthly,Darcio/data/raw_external/sidra_4406_first_age_monthly_2024.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2024/c666/32970,32971,32972,32973,32974/c236/5337,5338,5339,5340,5341,5342,5343,5344,5345,5346,5347,5348?formato=json",1634077,4860,3729,0,2fc17d144abde60652d97c56f5f679e230ec28eccf1238eb346d96635ec714e2,used,FALSE,2026-09-02T02:44:08-0300
2013,joint_under16_annual,Darcio/data/raw_external/sidra_4406_joint_under16_annual_2013.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2013/c666/32968,32970/c667/33006,33008?formato=json",112989,324,305,0,3b700d5a37a7906942a1a64385a4a2097becfdcb0eba04bdf876c887c2ca8666,used,FALSE,2026-09-02T02:44:07-0300
2014,joint_under16_annual,Darcio/data/raw_external/sidra_4406_joint_under16_annual_2014.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2014/c666/32968,32970/c667/33006,33008?formato=json",112989,324,305,0,924d81ebbfeb37b414c693cc40beb9f2d7bfd604f793ce010d038ed45c85a52a,used,FALSE,2026-09-02T02:44:07-0300
2015,joint_under16_annual,Darcio/data/raw_external/sidra_4406_joint_under16_annual_2015.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2015/c666/32968,32970/c667/33006,33008?formato=json",112989,324,310,0,51aa8485dffc727222a07c707b3dd972945f7e9d6d4b15daf52bc0c2c313f6b4,used,FALSE,2026-09-02T02:44:07-0300
2016,joint_under16_annual,Darcio/data/raw_external/sidra_4406_joint_under16_annual_2016.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2016/c666/32968,32970/c667/33006,33008?formato=json",112989,324,314,0,5987497bb11ed30f35bfa1c94279643a3d67425746bcd2312d641ab742a65546,used,FALSE,2026-09-02T02:44:07-0300
