draw,beta
1,-0.031701216391724
2,-0.0432054196462615
3,0.0012638083353568
4,-0.0106287652346316
5,-0.0208843672232537
6,0.0144484645607561
7,-0.040040678934177
8,-0.0295659089987384
9,-0.0201206160333623
10,-0.0255649589765587
11,-0.000960744894040318
12,0.00273935046753187
13,0.0133351409320838
14,0.0118079655510464
15,0.00485115401940883
16,-0.0146187120365902
17,-0.00516262324568803
18,-0.00414576896832014
19,7.20421789535898e-05
20,-0.0251908021739756
21,-0.00131426747263722
22,-0.0125733660030809
23,0.0176961557716745
24,-0.031884326280475
25,-0.0024678034020829
26,-0.0277102943955091
27,-0.0250783016781756
28,-0.00255937734560262
29,-0.0100441613944758
30,-0.0146063839056045
31,-0.0331892017386629
32,-0.0152544898867773
33,-0.0036470295579664
34,0.00441283052682311
35,-0.0318052101732206
36,0.0139271500596136
37,0.0200222127687064
38,-0.0162819625507667
39,-0.0225864635899898
40,-0.0313503939601253
41,-0.0133415765738336
42,-0.0143535394306225
43,-0.0189924244651844
44,-0.013659389466631
45,-0.0228150802602742
46,-0.0228966045711876
47,-0.0408418868593157
48,-0.0024629594135417
49,-0.0121253085144129
50,0.00829717086146183
51,-0.0167921038989953
52,-0.0204027875313994
53,-0.038602072195269
54,-0.000829197438844974
55,-0.0162598592020985
56,-0.0135828483390772
57,0.00401100534685639
58,0.0123100593145177
59,-0.0323052762653407
60,-0.0211501631998884
61,-0.0349862602055028
62,-0.017664524380027
63,0.000355930035979832
64,0.00161269598659395
65,-0.0125931049069976
66,-0.00776100016738836
67,-0.0130174193277241
68,-0.0179977015473829
69,-0.00478353277658275
70,-0.0250893077617273
71,-0.010926134896738
72,-0.0139229197828447
73,-0.0160498303599503
74,-0.00166472172788055
75,0.00202497733683279
76,-0.00854677366833403
77,-0.0333117046774863
78,-0.0223363515757704
79,-0.0227031323485612
80,-0.0112078440692017
81,-0.0161593525372721
82,-0.0225027270045697
83,-0.00294555863871552
84,-0.01973528712907
85,-0.00270153250168148
86,-0.0294081997852878
87,-0.0333039788067165
88,-0.0085766882420972
89,-0.0165049380776891
90,0.00236673739159473
91,-0.0154175355379068
92,-0.00853011364863717
93,-0.0036149458955618
94,-0.0309369887993952
95,-0.0157402219947146
96,-0.0318551989158138
97,-0.0209869770248793
98,0.00714356656498866
99,-0.0234644528845333
100,-0.00702195226485942
101,-0.0261493059987988
102,-0.00514194796344199
103,-0.0270340944401671
104,-0.00980098275855006
105,0.00826075079298723
106,-0.0253986854951244
107,-0.0257539565809899
108,-0.00485857802356813
109,-0.00436979117293533
110,-0.0376311549748492
111,0.00769677788626513
112,0.00517801281830019
113,-0.00159276525501317
114,0.0177721826849936
115,0.0230826472150295
116,-0.0246580222387047
117,-0.0206191793359002
