geography_level,cells,median_relative_difference,p01_relative_difference,p99_relative_difference,maximum_absolute_relative_difference
Brazil,180,0.000553385383123021,-0.0387351204200724,0.0413845175327374,0.0620119062809537
UF,4860,0.00192246000874404,-0.191481581417927,0.27424542125241,0.633647750118989
