era,x_days,n_births,side
pre,109,536,above
pre,110,544,above
pre,111,527,above
pre,112,522,above
pre,113,507,above
pre,114,557,above
pre,115,546,above
pre,116,515,above
pre,117,533,above
pre,118,519,above
pre,119,545,above
pre,120,568,above
pre,121,498,above
pre,122,543,above
pre,123,504,above
pre,124,517,above
pre,125,552,above
pre,126,524,above
pre,127,519,above
pre,128,522,above
pre,129,521,above
pre,130,524,above
pre,131,485,above
pre,132,529,above
pre,133,509,above
pre,134,551,above
pre,135,494,above
pre,136,518,above
pre,137,571,above
pre,138,494,above
pre,139,562,above
pre,140,521,above
pre,141,539,above
pre,142,523,above
pre,143,519,above
pre,144,545,above
pre,145,575,above
pre,146,541,above
pre,147,567,above
pre,148,536,above
pre,149,569,above
pre,150,526,above
pre,151,531,above
pre,152,551,above
pre,153,554,above
pre,154,536,above
pre,155,563,above
pre,156,549,above
pre,157,519,above
pre,158,501,above
pre,159,539,above
pre,160,588,above
pre,161,555,above
pre,162,545,above
pre,163,579,above
pre,164,579,above
pre,165,555,above
pre,166,540,above
pre,167,532,above
pre,168,575,above
pre,169,594,above
pre,170,592,above
pre,171,516,above
pre,172,546,above
pre,173,566,above
pre,174,553,above
pre,175,544,above
pre,176,552,above
pre,177,594,above
pre,178,578,above
pre,179,588,above
pre,180,513,above
post,-180,181,below
post,-179,195,below
post,-178,199,below
post,-177,184,below
post,-176,190,below
post,-175,213,below
post,-174,204,below
post,-173,179,below
post,-172,185,below
post,-171,215,below
post,-170,183,below
post,-169,201,below
post,-168,182,below
post,-167,201,below
post,-166,185,below
post,-165,197,below
post,-164,201,below
post,-163,209,below
post,-162,201,below
post,-161,183,below
post,-160,191,below
post,-159,188,below
post,-158,206,below
post,-157,214,below
post,-156,197,below
post,-155,197,below
post,-154,212,below
post,-153,183,below
post,-152,213,below
post,-151,199,below
post,-150,193,below
post,-149,192,below
post,-148,203,below
post,-147,223,below
post,-146,204,below
post,-145,224,below
post,-144,200,below
post,-143,197,below
post,-142,237,below
post,-141,185,below
post,-140,202,below
post,-139,190,below
post,-138,232,below
post,-137,209,below
post,-136,193,below
post,-135,178,below
post,-134,201,below
post,-133,195,below
post,-132,218,below
post,-131,207,below
post,-130,218,below
post,-129,240,below
post,-128,200,below
post,-127,191,below
post,-126,211,below
post,-125,209,below
post,-124,208,below
post,-123,208,below
post,-122,223,below
post,-121,222,below
post,-120,213,below
post,-119,180,below
post,-118,202,below
post,-117,246,below
post,-116,207,below
post,-115,223,below
post,-114,222,below
post,-113,224,below
post,-112,220,below
post,-111,212,below
post,-110,211,below
post,-109,206,below
post,-108,238,below
post,-107,210,below
post,-106,211,below
post,-105,218,below
post,-104,191,below
post,-103,228,below
post,-102,217,below
post,-101,207,below
post,-100,214,below
post,-99,228,below
post,-98,206,below
post,-97,222,below
post,-96,234,below
post,-95,211,below
post,-94,222,below
post,-93,227,below
post,-92,231,below
post,-91,230,below
post,-90,239,below
post,-89,248,below
post,-88,207,below
post,-87,215,below
post,-86,207,below
post,-85,224,below
post,-84,211,below
post,-83,230,below
post,-82,236,below
post,-81,197,below
post,-80,233,below
post,-79,223,below
post,-78,211,below
post,-77,224,below
post,-76,245,below
post,-75,253,below
post,-74,244,below
post,-73,250,below
post,-72,199,below
post,-71,212,below
post,-70,223,below
post,-69,237,below
post,-68,223,below
post,-67,249,below
post,-66,234,below
post,-65,258,below
post,-64,238,below
post,-63,221,below
post,-62,238,below
post,-61,264,below
post,-60,233,below
post,-59,241,below
post,-58,238,below
post,-57,260,below
post,-56,221,below
post,-55,245,below
post,-54,226,below
post,-53,264,below
post,-52,224,below
post,-51,250,below
post,-50,234,below
post,-49,248,below
post,-48,230,below
post,-47,250,below
post,-46,251,below
post,-45,252,below
post,-44,242,below
post,-43,255,below
post,-42,278,below
post,-41,231,below
post,-40,269,below
post,-39,254,below
post,-38,261,below
post,-37,222,below
post,-36,244,below
post,-35,265,below
