year,geography_level,geography_value,age,sex,annual_first_visit_population,annual_first_visit_se,quarterly_mean_population,quarterly_population_sd,quarterly_mean_design_se,quarters,difference,relative_difference
2013,Brazil,Brazil,14,combined,3362686.96078391,51249.2289649853,3428018.28072163,50827.4115809354,46023.1148300777,4,65331.31993772,0.0194283085816855
2013,Brazil,Brazil,14,female,1629110.32207534,35076.8014618617,1658918.89600273,27970.384043177,31324.3853061666,4,29808.5739273925,0.0182974556869906
2013,Brazil,Brazil,14,male,1733576.63870857,35844.3499954286,1769099.3847189,31734.7106349331,33024.6119938157,4,35522.7460103275,0.0204910156361995
2013,Brazil,Brazil,15,combined,3482399.72545005,51289.5992218939,3480431.20272149,49514.4329997055,45339.619218885,4,-1968.52272856003,-0.000565277648678204
2013,Brazil,Brazil,15,female,1726775.01852628,36015.9793800213,1725547.97099426,46954.1145143026,31650.3412414345,4,-1227.04753202503,-0.000710600697172613
2013,Brazil,Brazil,15,male,1755624.70692377,35598.7280724468,1754883.23172724,7625.45410063654,32071.647562197,4,-741.475196535001,-0.00042234265308001
2013,Brazil,Brazil,16,combined,3446205.97947453,49029.6675821056,3470315.22155322,22303.0361721848,44170.3924703772,4,24109.2420786899,0.00699587959114562
2013,Brazil,Brazil,16,female,1704798.87572075,34844.007664315,1744186.85864741,14641.4708115144,31753.1273812208,4,39387.98292666,0.0231041816648358
2013,Brazil,Brazil,16,male,1741407.10375378,34545.2318889667,1726128.36290581,22079.308978362,30814.6632669317,4,-15278.7408479699,-0.00877379035323504
2013,Brazil,Brazil,17,combined,3480157.41003859,50373.0867911438,3469464.30313505,62894.3748959608,45459.9298510019,4,-10693.1069035376,-0.00307259288694619
2013,Brazil,Brazil,17,female,1731298.61092412,36100.3316944812,1729395.11880262,24531.1785754527,32451.063158219,4,-1903.49212149763,-0.00109945916290062
2013,Brazil,Brazil,17,male,1748858.79911447,34913.670775505,1740069.18433243,46767.2137307652,31348.2428124456,4,-8789.61478204001,-0.00502591449149046
2013,Brazil,Brazil,18,combined,3490631.95292237,51777.9400992849,3463877.38744299,22849.8753846891,45263.2628958941,4,-26754.5654793847,-0.00766467672336114
