draw,15,16,17,events_age15,events_age16,events_age17,deficit_age15,excess_age16_17,recapture
1,0.151762633177061,0.00501868676133201,0.0178727726503174,27.316713326062,33.5760079014518,180.133685801568,-27.316713326062,213.70969370302,
2,-0.234076946705524,-0.000145911792163894,-0.00711375642430501,-51.165895801527,-0.978701790379289,-72.5977041173323,51.165895801527,-73.5764059077116,-1.43799702428968
3,0.0715300351330468,-0.0191900190905123,0.00680217856936412,13.3921468956038,-129.950344940193,68.9366284377859,-13.3921468956038,-61.0137165024076,
4,0.0532664180595758,0.0444980490228015,0.0566210950992927,10.0632882337541,291.905634483147,559.782618760004,-10.0632882337541,851.688253243151,
5,-0.0248417436609874,0.0931540897323481,0.0467174165939176,-4.87965695629107,596.56682107601,464.143209862957,4.87965695629107,1060.71003093897,217.373893378192
6,-0.00176646653564,-0.0187360766120014,0.0261049410199691,-0.342997367626284,-126.847467072456,262.026176259502,0.342997367626284,135.178709187046,394.110048489735
7,0.0276762876927382,-0.0542396949779575,-0.0179557528542807,5.29558081795258,-373.832263195835,-184.241195401151,-5.29558081795258,-558.073458596987,
8,0.0165430163570619,0.00703989753003862,0.0327415515107672,3.18294484992791,47.0507820718086,327.557210172859,-3.18294484992791,374.607992244668,
9,-0.00906203381287679,-0.0101655832314777,0.0302082939470835,-1.76602437181367,-68.5282916234722,302.594695898421,1.76602437181367,234.066404274949,132.538603662965
10,0.0553023764920105,0.00707390993551528,0.0251198204040144,10.4373947737553,47.2772991128483,252.261803351139,-10.4373947737553,299.539102463987,
11,-0.0546869605729773,0.0100570099120845,0.0549181620766127,-10.9047260188583,67.1143151343143,543.404823973513,10.9047260188583,610.519139107828,55.9866555154171
12,0.0662280468362487,-0.0245719657643171,0.0519825783412935,12.4320231321766,-166.845642312752,515.106567703594,-12.4320231321766,348.260925390842,
13,0.00568837198025768,-0.0698079517684074,-0.0237958907696212,1.10041142931994,-484.931041399823,-244.88245615763,-1.10041142931994,-729.813497557453,
14,-0.0596591044106235,0.036942143087496,0.0334737558672796,-11.9260788482922,243.250198426829,334.760519988709,11.9260788482922,578.010718415538,48.4661157928121
15,0.019535861620007,-0.0144535597951313,0.0447743486043234,3.75317703928935,-97.6439772213575,445.267681011212,-3.75317703928935,347.623703789855,
16,0.0148179885559966,0.079087412801,0.0817515927301482,2.85349605023793,510.005947033999,798.257980668417,-2.85349605023793,1308.26392770242,
17,0.0632921325385345,0.0311286526302715,0.0467536976007464,11.898171821816,205.563812052969,464.495305451203,-11.898171821816,670.059117504172,
18,-0.00925067070792631,-0.00240924473688885,-0.0027684439538217,-1.80295655032033,-16.178285349305,-28.1913115939938,1.80295655032033,-44.3695969432988,-24.6093545268275
